id	frequency	sources	baseNoun	modifiers	description
MaterialTransfer	8	Tasks			
BePumped	8	Tasks			
IndustrialAreas	8	Tasks			
MaterialSafetyDataSheets	7	Processes,Tasks			
Configuration	7	Processes,Tasks			
MaintenanceActivities	7	Processes,Tasks			
MediaObjectives	7	Processes			
AirTrafficControl	7	Processes,Tasks			
RoutineMaintenanceWork	7	Processes,Tasks			
Line	7	Processes,Tasks			
NewMaterials	7	Processes,Tasks			
Sub	7	Processes,Tasks			
TradeCustomers	7	Processes,Tasks			
Model	7	Processes,Tasks			
Rough	7	Processes,Tasks			
Back	7	Processes,Tasks			
Pilots	7	Processes,Tasks			
Voice	7	Processes,Tasks			
SoundEffects	7	Processes,Tasks			
Video	7	Processes,Tasks			
Curriculum	7	Processes			
FederalAgencies	7	Processes,Tasks			
Satisfaction	7	Processes,Tasks			
SecurityPolicies	7	Processes,Tasks			
Cause	7	Processes,Tasks			
RecreationalFacilities	7	Processes,Tasks			
Calls	7	Processes,Tasks			
Way	7	Processes,Tasks			
RegulatoryStandards	7	Processes,Tasks			
DataCollection	7	Processes,Tasks			
Alternatives	7	Processes,Tasks			
ServiceAreas	7	Processes,Tasks			
MedicalResearch	7	Processes,Tasks			
Tracking	7	Processes,Tasks			
Stores	7	Processes,Tasks			
Legislation	7	Tasks			
Commissions	7	Tasks			
AdvertisingCopy	7	Tasks			
ManufacturedProducts	7	Tasks			
SecurityOperations	7	Tasks			
DailyOperations	7	Tasks			
DataPertaining	7	Tasks			
Custody	7	Tasks			
RecommendSolutions	7	Tasks			
SalesDepartments	7	Tasks			
SafetyPrograms	7	Tasks			
LogBooks	7	Tasks			
SavingsPlans	7	Tasks			
OtherFinancialInformation	7	Tasks			
Purchasing	7	Tasks			
Lawns	7	Tasks			
LaborRequirements	7	Tasks			
SchoolDistricts	7	Tasks			
Institution	7	Tasks			
WorkHours	7	Tasks			
Rents	7	Tasks			
LocalAreas	7	Tasks			
UtilityCompanies	7	Tasks			
AccountingDuties	7	Tasks			
Submissions	7	Tasks			
CriminalCases	7	Tasks			
EquipmentNeeded	7	Tasks			
Revegetation	7	Tasks			
Preferences	7	Tasks			
StoreManagers	7	Tasks			
BeTaken	7	Tasks			
LawEnforcementAgencies	7	Tasks			
Death	7	Tasks			
EstimateCosts	7	Tasks			
Professional	7	Tasks			
CollectiveBargainingAgreements	7	Tasks			
ExpertTestimony	7	Tasks			
MinimizeEnvironmentalImpact	7	Tasks			
GlobalPositioningSystems	7	Tasks			
WorkerRequirements	7	Tasks			
Modes	7	Tasks			
Posting	7	Tasks			
CompanyOfficials	7	Tasks			
Exteriors	7	Tasks			
DetermineChanges	7	Tasks			
Fields	7	Tasks			
Person	7	Tasks			
DetermineWhetherChanges	7	Tasks			
LegalDocuments	7	Tasks			
SoftwareDevelopers	7	Tasks			
EquipmentPerformanceRecords	7	Tasks			
SoftwareApplications	7	Tasks			
ComputerPrograms	7	Tasks			
ExistingData	7	Tasks			
LegalProceedings	7	Tasks			
OperatingManuals	7	Tasks			
MaintenanceManuals	7	Tasks			
Terrain	7	Tasks			
RenewableEnergySources	7	Tasks			
Labels	7	Tasks			
ManagementPersonnel	7	Tasks			
Servicing	7	Tasks			
Technologists	7	Tasks			
DetermineLocation	7	Tasks			
Suitability	7	Tasks			
Range	7	Tasks			
DetermineMethod	7	Tasks			
MaterialsLists	7	Tasks			
CopyMachines	7	Tasks			
StatisticalAnalysis	7	Tasks			
Reagents	7	Tasks			
Stories	7	Tasks			
ResearchData	7	Tasks			
IndustrialProcesses	7	Tasks			
Purpose	7	Tasks			
StaffStudents	7	Tasks			
SpecifiedAreas	7	Tasks			
OtherProblems	7	Tasks			
WeatherConditions	7	Tasks			
LaboratoryEquipment	7	Tasks			
EquipmentProblems	7	Tasks			
Event	7	Tasks			
GroupSessions	7	Tasks			
MeasurableGoalsDescribed	7	Tasks			
KeepThemInformed	7	Tasks			
OtherCounselors	7	Tasks			
Doctors	7	Tasks			
Counselors	7	Tasks			
TreatmentGoals	7	Tasks			
AccompanyClients	7	Tasks			
ClergyMembers	7	Tasks			
OnlineCourses	7	Tasks			
MaintainRecords	7	Tasks			
Snacks	7	Tasks			
PositiveReinforcement	7	Tasks			
TeacherAssistants	7	Tasks			
PerceptualSkills	7	Tasks			
Visits	7	Tasks			
Shows	7	Tasks			
Adults	7	Tasks			
Editing	7	Tasks			
SalesRepresentatives	7	Tasks			
Styles	7	Tasks			
Arrangements	7	Tasks			
Tidy	7	Tasks			
News	7	Tasks			
ProductionStaff	7	Tasks			
NewMaterial	7	Tasks			
TreatmentRecords	7	Tasks			
Eyes	7	Tasks			
InsuranceCompanies	7	Tasks			
PatientsMembers	7	Tasks			
Athletes	7	Tasks			
Disorders	7	Tasks			
VitalSigns	7	Tasks			
Nursing	7	Tasks			
PatientsHistories	7	Tasks			
OtherMedicalProfessionals	7	Tasks			
EnsureConformity	7	Tasks			
Allow	7	Tasks			
TreatmentAreas	7	Tasks			
EnsureCleanliness	7	Tasks			
RunningErrands	7	Tasks			
Visitors	7	Tasks			
ReceivePayment	7	Tasks			
Refreshments	7	Tasks			
SupportDuties	7	Tasks			
MedicalPersonnel	7	Tasks			
Engine	7	Tasks			
SecurityPersonnel	7	Tasks			
Outside	7	Tasks			
Off	7	Tasks			
Streets	7	Tasks			
EstablishmentPersonnel	7	Tasks			
EnsureEfficientOperation	7	Tasks			
Chips	7	Tasks			
Utensils	7	Tasks			
Desserts	7	Tasks			
Bar	7	Tasks			
Hot	7	Tasks			
Axes	7	Tasks			
Setting	7	Tasks			
RunErrands	7	Tasks			
Stockrooms	7	Tasks			
ArrangeDelivery	7	Tasks			
BankDeposits	7	Tasks			
OrderInformation	7	Tasks			
Lading	7	Tasks			
AppropriateLocations	7	Tasks			
DailyWorkSchedules	7	Tasks			
Bucking	7	Tasks			
Fences	7	Tasks			
Ladders	7	Tasks			
Supports	7	Tasks			
Smoothness	7	Tasks			
Generators	7	Tasks			
Glue	7	Tasks			
Rigging	7	Tasks			
Pulleys	7	Tasks			
Brakes	7	Tasks			
Bottoms	7	Tasks			
Bearings	7	Tasks			
Voltage	7	Tasks			
DiagnoseProblems	7	Tasks			
ElectricalConnections	7	Tasks			
UnitsParts	7	Tasks			
DieselEngines	7	Tasks			
PartsUsed	7	Tasks			
WoodworkingMachines	7	Tasks			
DetermineIfRepairsAreNeeded	7	Tasks			
Cloths	7	Tasks			
DetermineAccuracy	7	Tasks			
ExtrudingMachines	7	Tasks			
FabricateProducts	7	Tasks			
BrokenParts	7	Tasks			
Sticks	7	Tasks			
OperatingData	7	Tasks			
ProblemsEncountered	7	Tasks			
Announcements	7	Tasks			
OrganizationalObjectives	6	Processes			
SupplyChain	6	Processes			
ProcurementSupplierPerformance	6	Processes			
EmployeeOnboardingProgram	6	Processes			
HazardousMaterial	6	Processes,Tasks			
TimeRequired	6	Processes,Tasks			
EhsProgram	6	Processes			
Sustainability	6	Processes,Tasks			
ProductManufacturingServiceDeliveryProcess	6	Processes			
CorrectiveActions	6	Processes,Tasks			
ProductionActivities	6	Processes,Tasks			
ProductDesign	6	Processes,Tasks			
HazardousMaterials	6	Processes,Tasks			
Waste	6	Processes,Tasks			
Component	6	Processes			
CustomerDemand	6	Processes,Tasks			
Entertainment	6	Processes,Tasks			
CorrectiveMaintenance	6	Processes,Tasks			
SafetyMeasures	6	Processes,Tasks			
QualityAssurance	6	Processes,Tasks			
ImprovePerformance	6	Processes,Tasks			
Installations	6	Processes,Tasks			
Certification	6	Processes,Tasks			
CashDrawers	6	Processes,Tasks			
Transaction	6	Processes			
RiskManagementOperatingModels	6	Processes			
OperationalRisksAccording	6	Processes			
MarketData	6	Processes			
ProductionResources	6	Processes			
Power	6	Processes,Tasks			
NewTerms	6	Processes			
AppropriateFormat	6	Processes,Tasks			
SocialServices	6	Processes,Tasks			
StateRegulations	6	Processes,Tasks			
Websites	6	Processes			
Requisition	6	Processes,Tasks			
SecurityProgram	6	Processes			
Constituents	6	Processes,Tasks			
Agency	6	Processes			
Promotion	6	Processes,Tasks			
State	6	Processes,Tasks			
Monitor	6	Processes,Tasks			
IncidentsEvents	6	Processes			
FinishedProduct	6	Processes,Tasks			
SpareParts	6	Processes,Tasks			
ProvideFeedback	6	Processes,Tasks			
Ability	6	Processes,Tasks			
DetailedPlans	6	Processes			
Expenses	6	Processes,Tasks			
Values	6	Processes,Tasks			
Procedure	6	Processes,Tasks			
CustomerServiceOperations	6	Processes			
Worksheets	6	Processes,Tasks			
Brochures	6	Processes,Tasks			
Prior	6	Processes,Tasks			
ClaimsSystem	6	Processes			
Scenarios	6	Processes,Tasks			
RegulatorySubmissions	6	Processes,Tasks			
Stability	6	Processes,Tasks			
NetworkPerformance	6	Processes,Tasks			
MeterComponents	6	Processes,Tasks			
Warehouse	6	Processes,Tasks			
Rulings	6	Tasks			
EquipmentSupplies	6	Tasks			
OtherGroups	6	Tasks			
SustainabilityInitiatives	6	Tasks			
PricesTerms	6	Tasks			
Drafts	6	Tasks			
Mobilization	6	Tasks			
CampaignTeam	6	Tasks			
AdvanceCampaignGoals	6	Tasks			
PerformanceEvaluations	6	Tasks			
Compatibility	6	Tasks			
Company	6	Tasks			
ProvideGuidance	6	Tasks			
PaperFilingSystems	6	Tasks			
Leadership	6	Tasks			
InternalInvestigations	6	Tasks			
SystemsAnalysts	6	Tasks			
Disbursements	6	Tasks			
EnsureRegulatoryCompliance	6	Tasks			
MarketingActivities	6	Tasks			
SafetyRulesRegulations	6	Tasks			
DetermineUsefulness	6	Tasks			
GeothermalPlantEquipment	6	Tasks			
Cleanup	6	Tasks			
Low	6	Tasks			
CustomerIssues	6	Tasks			
StandardEmergencyOperatingProcedures	6	Tasks			
FinancialImpact	6	Tasks			
SpecificSupplyChain	6	Tasks			
DepartmentalBudgets	6	Tasks			
ProductImportProcesses	6	Tasks			
ExportProcesses	6	Tasks			
ScheduleChanges	6	Tasks			
ExpendituresFinancialInformation	6	Tasks			
IncreasingProfitsImprovingServices	6	Tasks			
SafetyRecords	6	Tasks			
InvoicesManifests	6	Tasks			
ShippingManifests	6	Tasks			
MinimizingIdling	6	Tasks			
ContractorsPartners	6	Tasks			
OperationalEfficiencyEnvironmentalPerformanceRecords	6	Tasks			
SafetyEnvironmentalPerformanceRecords	6	Tasks			
BusinessPartners	6	Tasks			
FacilityModificationSuchAsEquipmentPurchaseChanges	6	Tasks			
SpaceAllocationStructuralDesign	6	Tasks			
WarehouseActivities	6	Tasks			
InternalSystemsProcesses	6	Tasks			
ExternalSystemsProcesses	6	Tasks			
ManufacturingProcesses	6	Tasks			
BenefitsPolicies	6	Tasks			
EnsureProgramsAreCurrent	6	Tasks			
AssistEmployees	6	Tasks			
EmployeeBenefitPrograms	6	Tasks			
AbsenteeismRates	6	Tasks			
TrainingStaffDevelopmentPrograms	6	Tasks			
OtherFactors	6	Tasks			
GovernmentStandards	6	Tasks			
NurseriesGrowHorticulturalPlants	6	Tasks			
TrappingSpawning	6	Tasks			
MatureFish	6	Tasks			
Lakes	6	Tasks			
UnanticipatedProblems	6	Tasks			
SetPlantingSchedules	6	Tasks			
PlantIrrigationSystems	6	Tasks			
StateLaws	6	Tasks			
FederalLaws	6	Tasks			
Disrepair	6	Tasks			
PerformNecessaryMaintenanceWork	6	Tasks			
EmploymentRecords	6	Tasks			
Honeybees	6	Tasks			
Raising	6	Tasks			
BroodStock	6	Tasks			
FertilizerRequired	6	Tasks			
MaximumCropProduction	6	Tasks			
DetectDiseaseInsectInfestation	6	Tasks			
IdentifyDiseases	6	Tasks			
BeGrownRaised	6	Tasks			
Grading	6	Tasks			
PersonnelActionsRelated	6	Tasks			
OtherPublications	6	Tasks			
ProjectFeasibility	6	Tasks			
ProvidingInformation	6	Tasks			
ScientificGuidance	6	Tasks			
DevelopmentProjects	6	Tasks			
ComputationalTools	6	Tasks			
DevelopmentActivities	6	Tasks			
PayrollRecords	6	Tasks			
Familiarity	6	Tasks			
Associates	6	Tasks			
FillStaffVacancies	6	Tasks			
DepartmentExpensesRevenue	6	Tasks			
EventsActivities	6	Tasks			
FacilitiesAttractions	6	Tasks			
EntertainmentAttractions	6	Tasks			
RecreationalFacilityProgrammingUsingCustomerEmployeeData	6	Tasks			
AmusementPark	6	Tasks			
OtherRecreationalFacility	6	Tasks			
HealthCareMedicalFacility	6	Tasks			
ClientRelationships	6	Tasks			
Caregivers	6	Tasks			
TechnicalExpertise	6	Tasks			
StaffContractPersonnelEvaluatePerformance	6	Tasks			
PropertyServices	6	Tasks			
VacantSpace	6	Tasks			
EquipmentRoutinely	6	Tasks			
DiscussResolveLegalEnvironmentalIssuesDisputesBetweenNeighbors	6	Tasks			
LegalAuthorities	6	Tasks			
GovernmentLeaders	6	Tasks			
OtherAgenciesOrganizations	6	Tasks			
VolunteersStaff	6	Tasks			
DeathCertificates	6	Tasks			
FitnessPrograms	6	Tasks			
FitnessClasses	6	Tasks			
InternalInvestigation	6	Tasks			
Communicated	6	Tasks			
DevelopStrategies	6	Tasks			
Demolition	6	Tasks			
WholesaleConsumers	6	Tasks			
RetailConsumers	6	Tasks			
Commodities	6	Tasks			
PurchasingPersonnel	6	Tasks			
Clerks	6	Tasks			
WhichProductsShouldBeFeatured	6	Tasks			
CompetitorsSalesActivities	6	Tasks			
Consumers	6	Tasks			
IntroduceNewGreenProducts	6	Tasks			
DataUsed	6	Tasks			
HealthProfessionals	6	Tasks			
EqualOpportunityComplaints	6	Tasks			
PersonsInvolved	6	Tasks			
NondiscriminatoryEmploymentPractices	6	Tasks			
Matters	6	Tasks			
Exporters	6	Tasks			
LaborEstimates	6	Tasks			
RecordInformation	6	Tasks			
Skill	6	Tasks			
DrugTests	6	Tasks			
EventBills	6	Tasks			
EventActivities	6	Tasks			
ServicesAccording	6	Tasks			
AdministrativeDetails	6	Tasks			
SponsorsCommittees	6	Tasks			
PlanScope	6	Tasks			
OrganizingCommittees	6	Tasks			
TradePublications	6	Tasks			
TradesShowServices	6	Tasks			
ProfessionalAssociations	6	Tasks			
PublicizeEventsPromoteSponsorships	6	Tasks			
ErectDisplaysExhibitsServeFood	6	Tasks			
CompanyCompliance	6	Tasks			
SafetyPractices	6	Tasks			
CurriculaMaterials	6	Tasks			
TrainingProgramsConductTraining	6	Tasks			
Handbooks	6	Tasks			
CompensationPrograms	6	Tasks			
UnionOfficials	6	Tasks			
AreasSuchAsSupport	6	Tasks			
CollectiveAgreements	6	Tasks			
Organizational	6	Tasks			
IndustrialData	6	Tasks			
FunctionalRelationships	6	Tasks			
JobsTrends	6	Tasks			
FlowChartsCareerPathReports	6	Tasks			
Trainees	6	Tasks			
ProgrammingLanguages	6	Tasks			
TechnicalDocuments	6	Tasks			
DetailedReports	6	Tasks			
BusinessOperations	6	Tasks			
Descriptions	6	Tasks			
AppraisalReports	6	Tasks			
PersonalProperty	6	Tasks			
Piece	6	Tasks			
DetermineAppraisalValue	6	Tasks			
IndividualCustomerFiles	6	Tasks			
IdentifyDelinquentAccounts	6	Tasks			
SelectDelinquentAccounts	6	Tasks			
CommercialCustomerFiles	6	Tasks			
RelativeQuality	6	Tasks			
VariousSecurities	6	Tasks			
GivenIndustry	6	Tasks			
InvestmentsTiming	6	Tasks			
InvestmentTiming	6	Tasks			
Purposes	6	Tasks			
BeProvided	6	Tasks			
StatisticalAnalyses	6	Tasks			
TelephonePerson	6	Tasks			
AccountRecords	6	Tasks			
TaxpayersRepresentatives	6	Tasks			
RegulationsInvolved	6	Tasks			
AddressDiscrepancies	6	Tasks			
RequestSupportingDocumentation	6	Tasks			
CompletingTaxForms	6	Tasks			
PrescribedLawsRegulations	6	Tasks			
TaxForms	6	Tasks			
TaxAssetsLiabilities	6	Tasks			
DetermineResolution	6	Tasks			
DelinquentTaxProblems	6	Tasks			
FiledTaxReturns	6	Tasks			
SelectedTaxReturns	6	Tasks			
DetermineWhetherAccountingMethodsUsedWereAppropriateCompliance	6	Tasks			
OtherAgents	6	Tasks			
SearchingRecords	6	Tasks			
SeizingRecords	6	Tasks			
Taxpayer'sAgreement	6	Tasks			
OtherAdministrativeJudicialConferees	6	Tasks			
AppealsHearings	6	Tasks			
DetectErrors	6	Tasks			
DataCollectionMethods	6	Tasks			
AnalyticalSupport	6	Tasks			
Analysts	6	Tasks			
TakeStatements	6	Tasks			
NewModifiedInformaticsSolutions	6	Tasks			
InstallationTesting	6	Tasks			
Patches	6	Tasks			
HardwareSoftwareTechnologies	6	Tasks			
AchieveDesiredDatabasePerformance	6	Tasks			
ArchivedProcedures	6	Tasks			
Queries	6	Tasks			
OtherSystems	6	Tasks			
EmailApplicationsVirusProtectionSoftware	6	Tasks			
ProtectData	6	Tasks			
TrialRuns	6	Tasks			
ProgramFunction	6	Tasks			
SystemModifications	6	Tasks			
SupportingCode	6	Tasks			
WebSiteTestsAccording	6	Tasks			
WebSiteUpdates	6	Tasks			
ManagementTeams	6	Tasks			
PrioritizeNeeds	6	Tasks			
ChooseSolutions	6	Tasks			
NetworkPersonnelSiteHostingAgencies	6	Tasks			
AddressHardwareIssuesAffectingWebSites	6	Tasks			
SoftwareIssuesAffectingWebSites	6	Tasks			
WebSiteHostingAgencies	6	Tasks			
DevelopE	6	Tasks			
IntegrateStrategies	6	Tasks			
DeviceTypes	6	Tasks			
Clear	6	Tasks			
Privacy	6	Tasks			
StyleGuidelines	6	Tasks			
WebSiteContent	6	Tasks			
TestRoutinesSchedules	6	Tasks			
EnsureTestCasesMimicExternalInterfacesAddressBrowserDeviceTypes	6	Tasks			
IntegratedGeographicInformationSystems	6	Tasks			
Detection	6	Tasks			
ReportFindings	6	Tasks			
EnsureCompatibility	6	Tasks			
OtherFields	6	Tasks			
ManagementOtherEndUsers	6	Tasks			
SpecificProjects	6	Tasks			
ResearchStudies	6	Tasks			
DataCollected	6	Tasks			
WrittenPresentations	6	Tasks			
FinalConstructionPlansIncludeAestheticRepresentations	6	Tasks			
StructuresIncorporateEnvironmentallyFriendlyBuildingPracticesSuchAsLeadership	6	Tasks			
Concepts	6	Tasks			
GreenBuildingProjects	6	Tasks			
MinimizeAdverseEnvironmentalImpactEnergy	6	Tasks			
ConserveEnergy	6	Tasks			
EnvironmentallySoundStructuralUpgrades	6	Tasks			
Latitudes	6	Tasks			
EngineeringPrinciples	6	Tasks			
EngineeringData	6	Tasks			
Scientific	6	Tasks			
TechnologicalAdvances	6	Tasks			
Chemists	6	Tasks			
IdentifyWays	6	Tasks			
ProjectSites	6	Tasks			
DetermineCompliance	6	Tasks			
CompetitorsProducts	6	Tasks			
PerformElectronicsEngineeringTasks	6	Tasks			
DesignModifications	6	Tasks			
EngineeringSketches	6	Tasks			
LandUseProjects	6	Tasks			
Report	6	Tasks			
OtherInterestedParties	6	Tasks			
ProductDesigns	6	Tasks			
ProductionCosts	6	Tasks			
DeterminePotential	6	Tasks			
Behaviors	6	Tasks			
MaintainKnowledge	6	Tasks			
ReduceCosts	6	Tasks			
SustainableManufacturingTechnologies	6	Tasks			
AutomaticControlsAlarmSystems	6	Tasks			
PerformanceTests	6	Tasks			
EmergencyDuties	6	Tasks			
IndustrialSettings	6	Tasks			
Drafters	6	Tasks			
MaintenanceProcedures	6	Tasks			
FuelCellSystems	6	Tasks			
MiningAreas	6	Tasks			
LocationsUndergroundSurfaceMiningOperations	6	Tasks			
PlanUndergroundSurfaceMiningOperations	6	Tasks			
MineSafetyPrograms	6	Tasks			
DeviseMaterials	6	Tasks			
TestResearchFindings	6	Tasks			
ProveResearchFindings	6	Tasks			
ImproveProduction	6	Tasks			
EnergySavingsStrategies	6	Tasks			
AchieveEnergy	6	Tasks			
EnergyAudits	6	Tasks			
SustainableDesign	6	Tasks			
EnergyPurchaseAgreements	6	Tasks			
TopicsSuchAsEnergyManagement	6	Tasks			
AlternativeEnergySources	6	Tasks			
EnergyManagementRoutines	6	Tasks			
BuildingAutomationSystems	6	Tasks			
BestFuel	6	Tasks			
ConstructionClientsOtherEngineers	6	Tasks			
TopicsSuchAsLeadership	6	Tasks			
RenovationClientsOtherEngineers	6	Tasks			
ExperimentalStudies	6	Tasks			
Sensors	6	Tasks			
Clean	6	Tasks			
Checklists	6	Tasks			
PlansDrawings	6	Tasks			
GraphicallyRepresentBuildingPlans	6	Tasks			
RequiredMaterials	6	Tasks			
VerifySpecifications	6	Tasks			
DetailedDesignDrawings	6	Tasks			
DetermineDimensions	6	Tasks			
EquipmentOperators	6	Tasks			
TestInformation	6	Tasks			
MaintainRobots	6	Tasks			
FabricateHousings	6	Tasks			
LaboratoryData	6	Tasks			
EnvironmentalPermits	6	Tasks			
Generation	6	Tasks			
OtherTechnicians	6	Tasks			
DetermineEnvironmentalImpact	6	Tasks			
ProcessingTimes	6	Tasks			
OtherRelevantInformation	6	Tasks			
TopographicMaps	6	Tasks			
CommunicateResearchFindings	6	Tasks			
DetermineSources	6	Tasks			
ScientificConferences	6	Tasks			
SpecialResearchProjects	6	Tasks			
Substances	6	Tasks			
PreventivePrograms	6	Tasks			
InterpretResults	6	Tasks			
GeneExpression	6	Tasks			
StudentsResearch	6	Tasks			
SurroundingAreas	6	Tasks			
MotionPictures	6	Tasks			
Timber	6	Tasks			
InvestigateHumanAnimalDisease	6	Tasks			
AdvisePhysicians	6	Tasks			
Metals	6	Tasks			
LaboratoryExperiments	6	Tasks			
StudyReports	6	Tasks			
IndustrialProductionProcesses	6	Tasks			
Ecosystems	6	Tasks			
Context	6	Tasks			
GeologicalMaps	6	Tasks			
MineralExtraction	6	Tasks			
GeologicalFindings	6	Tasks			
ProbableNaturalGas	6	Tasks			
ResearchArticlesEnvironmental	6	Tasks			
GeologicalStudies	6	Tasks			
RegionalDevelopment	6	Tasks			
PublicWorksProjects	6	Tasks			
GeophysicalStudies	6	Tasks			
GroundWaterMovement	6	Tasks			
SiteSelection	6	Tasks			
SurfaceWaterMovement	6	Tasks			
NuclearWasteManagement	6	Tasks			
MonitorMiningCrews	6	Tasks			
IndustrialDiamondsSoil	6	Tasks			
Deposits	6	Tasks			
NewSources	6	Tasks			
MedicalResearchers	6	Tasks			
AddressHealthProblemsRelated	6	Tasks			
GeologicalMaterials	6	Tasks			
HealthResearchers	6	Tasks			
AppliedSoftware	6	Tasks			
GlobalEnergyProductionEvaluatePotentialEnvironmentalImpacts	6	Tasks			
SuchIncorporation	6	Tasks			
FieldInvestigations	6	Tasks			
ProjectGoals	6	Tasks			
GeographicData	6	Tasks			
RemoteSensingTechnology	6	Tasks			
EnvironmentalChange	6	Tasks			
Psychological	6	Tasks			
FamilyHistories	6	Tasks			
StaffInternsEngaged	6	Tasks			
PatientAssessmentTreatment	6	Tasks			
PsychologicalResearchWritePapersDescribingResearchResults	6	Tasks			
PublicMeetings	6	Tasks			
Housing	6	Tasks			
MapsDatabases	6	Tasks			
Observation	6	Tasks			
Clubs	6	Tasks			
Sampling	6	Tasks			
HazardousConditionsOutbreaks	6	Tasks			
DiseasePoisoning	6	Tasks			
FoodPoisoning	6	Tasks			
SpillsOutbreaks	6	Tasks			
ChartsInterpretTestResults	6	Tasks			
Photomicrographs	6	Tasks			
InformationProgramAssistance	6	Tasks			
GovernmentRepresentatives	6	Tasks			
PublicHealth	6	Tasks			
TechnicalProgramAssistance	6	Tasks			
MonitorPollutants	6	Tasks			
CollectPollutants	6	Tasks			
EnvironmentalPollution	6	Tasks			
EmissionControlDevices	6	Tasks			
WorkplacesPublicFacilities	6	Tasks			
SiteRecyclingWasteStreamPrograms	6	Tasks			
HazardousWasteStreamPrograms	6	Tasks			
DestroyingHarmfulOrganismsImpurities	6	Tasks			
RemovingImpurities	6	Tasks			
PresenceConcentration	6	Tasks			
Contaminants	6	Tasks			
FluidSamples	6	Tasks			
CompileInformation	6	Tasks			
SolarInstallations	6	Tasks			
EnsureItIsOperatingProperly	6	Tasks			
PublicEducationPrograms	6	Tasks			
AccessRoadsForestAreasSuchAsBurns	6	Tasks			
PhotographicEquipment	6	Tasks			
OtherSubstances	6	Tasks			
OtherTypes	6	Tasks			
ClientsMembers	6	Tasks			
IndividualsAbilities	6	Tasks			
CommunityAgencies	6	Tasks			
OtherContacts	6	Tasks			
ServicePlans	6	Tasks			
ClientsPerformFollow	6	Tasks			
Discipline	6	Tasks			
OtherSchoolPersonnel	6	Tasks			
OtherTestsMayDiscloseCauses	6	Tasks			
FinancialAssistance	6	Tasks			
SupplementaryInformationNeeded	6	Tasks			
AdoptiveParents	6	Tasks			
StudentsWhoseBehavior	6	Tasks			
MentalPhysicalImpairmentIndicateNeed	6	Tasks			
PersonalCharacteristicsConditions	6	Tasks			
FosterHomeApplicants	6	Tasks			
AdoptionApplicants	6	Tasks			
HomeConditions	6	Tasks			
GroupCounselingSessionsProvideSupport	6	Tasks			
CommunityDevelopment	6	Tasks			
ClientProgress	6	Tasks			
Respect	6	Tasks			
ProfessionalStaff	6	Tasks			
Home	6	Tasks			
EmotionalNeeds	6	Tasks			
ProgramPlans	6	Tasks			
Existence	6	Tasks			
CurrentLaws	6	Tasks			
JudicialPrecedents	6	Tasks			
TrialsHearings	6	Tasks			
EnsureTheyAreConductedFairlyCourtsAdministerJusticeWhileSafeguardingLegalRights	6	Tasks			
ClaimsSettlementsAccording	6	Tasks			
CompromiseSettlementsAccording	6	Tasks			
ObtainRelevantInformation	6	Tasks			
DiscussDetails	6	Tasks			
NewFaculty	6	Tasks			
TopicsSuchAsStructuralGeology	6	Tasks			
SupportResearchProjects	6	Tasks			
GuestSpeakers	6	Tasks			
TopicsSuchAsActingTechniques	6	Tasks			
StudentsInformed	6	Tasks			
DepartmentPersonnel	6	Tasks			
MaintainingOrder	6	Tasks			
NutritionalGuidelines	6	Tasks			
IndoorSpace	6	Tasks			
OutdoorSpace	6	Tasks			
AdjustmentAcademicProblemsSpecialAcademicInterests	6	Tasks			
SpecialAcademicInterests	6	Tasks			
CorrectStudentRecordsAsRequired	6	Tasks			
ExtracurricularActivities	6	Tasks			
SociallyAcceptableBehavior	6	Tasks			
SpecialEducationProgramRequirements	6	Tasks			
DiscussChildren'sProgress	6	Tasks			
ExperientialLearningActivities	6	Tasks			
SocialDevelopment	6	Tasks			
OtherInstructors	6	Tasks			
Curatorial	6	Tasks			
WoodenSteps	6	Tasks			
InformationAccessAids	6	Tasks			
MakeRepairs	6	Tasks			
Fines	6	Tasks			
SubjectMatter	6	Tasks			
StoryDevelopment	6	Tasks			
CreateArtwork	6	Tasks			
VisualElements	6	Tasks			
OtherCircumstances	6	Tasks			
SmallHandTools	6	Tasks			
Sculptures	6	Tasks			
OtherThree	6	Tasks			
OtherTechnicalExpertsAsNecessary	6	Tasks			
SketchesModelDrawings	6	Tasks			
CartoonCharacters	6	Tasks			
FinishedArtWorkAsDecoration	6	Tasks			
Likenesses	6	Tasks			
SolventsAgents	6	Tasks			
Paintings	6	Tasks			
RemoveAccretions	6	Tasks			
CleaningAgents	6	Tasks			
Copy	6	Tasks			
Spaces	6	Tasks			
TimePlace	6	Tasks			
OriginalMaterial	6	Tasks			
Costumes	6	Tasks			
Pictures	6	Tasks			
SpecialEffects	6	Tasks			
ImproveFuturePerformance	6	Tasks			
PracticeSessions	6	Tasks			
StudentAthletes	6	Tasks			
ExtendedCoachingStaff	6	Tasks			
GameSites	6	Tasks			
ParticipantsAssessNecessaryPenalties	6	Tasks			
RulesRegulationsGoverningSpecificSport	6	Tasks			
SportingEquipmentParticipants	6	Tasks			
EventRegulations	6	Tasks			
ExamineParticipants	6	Tasks			
OtherSportingOfficials	6	Tasks			
FacilityManagers	6	Tasks			
AnticipateIssuesMightArise	6	Tasks			
FutureEngagements	6	Tasks			
AchieveDesiredEffects	6	Tasks			
Commentaries	6	Tasks			
Tips	6	Tasks			
ProvideCompleteInformation	6	Tasks			
Readers	6	Tasks			
Commentary	6	Tasks			
