id	name	description	industry	stage
IdeaIndividualFamilyServicesStartup	Idea Individual and Family Services Startup	Idea stage startup in individual and family services	6241	Idea
IdeaIndustrialMachineryManufacturingStartup	Idea Industrial Machinery Manufacturing Startup	Idea stage startup in industrial machinery manufacturing	3332	Idea
IdeaInformationStartup	Idea Information Startup	Idea stage startup in information	51	Idea
IdeaInlandWaterTransportationStartup	Idea Inland Water Transportation Startup	Idea stage startup in inland water transportation	4832	Idea
IdeaInsuranceCarriersRelatedActivitiesStartup	Idea Insurance Carriers and Related Activities Startup	Idea stage startup in insurance carriers and related activities	524	Idea
IdeaInsuranceCarriersStartup	Idea Insurance Carriers Startup	Idea stage startup in insurance carriers	5241	Idea
IdeaInsuranceEmployeeBenefitFundsStartup	Idea Insurance and Employee Benefit Funds Startup	Idea stage startup in insurance and employee benefit funds	5251	Idea
IdeaInterurbanRuralBusTransportationStartup	Idea Interurban and Rural Bus Transportation Startup	Idea stage startup in interurban and rural bus transportation	4852	Idea
IdeaInvestigationSecurityServicesStartup	Idea Investigation and Security Services Startup	Idea stage startup in investigation and security services	5616	Idea
IdeaIronSteelMillsFerroalloyManufacturingStartup	Idea Iron and Steel Mills and Ferroalloy Manufacturing Startup	Idea stage startup in iron and steel mills and ferroalloy manufacturing	3311	Idea
IdeaJewelryLuggageLeatherGoodsRetailersStartup	Idea Jewelry, Luggage, and Leather Goods Retailers Startup	Idea stage startup in jewelry, luggage, and leather goods retailers	4583	Idea
IdeaJuniorCollegesStartup	Idea Junior Colleges Startup	Idea stage startup in junior colleges	6112	Idea
IdeaJusticePublicOrderSafetyActivitiesStartup	Idea Justice, Public Order, and Safety Activities Startup	Idea stage startup in justice, public order, and safety activities	922	Idea
IdeaJusticePublicOrderSafetyActivitiesStartup	Idea Justice, Public Order, and Safety Activities Startup	Idea stage startup in justice, public order, and safety activities	9221	Idea
IdeaLandSubdivisionStartup	Idea Land Subdivision Startup	Idea stage startup in land subdivision	2372	Idea
IdeaLawnGardenEquipmentSuppliesRetailersStartup	Idea Lawn and Garden Equipment and Supplies Retailers Startup	Idea stage startup in lawn and garden equipment and supplies retailers	4442	Idea
IdeaLeatherAlliedProductManufacturingStartup	Idea Leather and Allied Product Manufacturing Startup	Idea stage startup in leather and allied product manufacturing	316	Idea
IdeaLeatherHideTanningFinishingStartup	Idea Leather and Hide Tanning and Finishing Startup	Idea stage startup in leather and hide tanning and finishing	3161	Idea
IdeaLegalServicesStartup	Idea Legal Services Startup	Idea stage startup in legal services	5411	Idea
IdeaLessorsNonfinancialIntangibleAssetsExceptCopyrightedWorksStartup	Idea Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Startup	Idea stage startup in lessors of nonfinancial intangible assets (except copyrighted works)	533	Idea
IdeaLessorsNonfinancialIntangibleAssetsExceptCopyrightedWorksStartup	Idea Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) Startup	Idea stage startup in lessors of nonfinancial intangible assets (except copyrighted works)	5331	Idea
IdeaLessorsRealEstateStartup	Idea Lessors of Real Estate Startup	Idea stage startup in lessors of real estate	5311	Idea
IdeaLimeGypsumProductManufacturingStartup	Idea Lime and Gypsum Product Manufacturing Startup	Idea stage startup in lime and gypsum product manufacturing	3274	Idea
IdeaLocalMessengersLocalDeliveryStartup	Idea Local Messengers and Local Delivery Startup	Idea stage startup in local messengers and local delivery	4922	Idea
IdeaLoggingStartup	Idea Logging Startup	Idea stage startup in logging	1133	Idea
IdeaLumberOtherConstructionMaterialsMerchantWholesalersStartup	Idea Lumber and Other Construction Materials Merchant Wholesalers Startup	Idea stage startup in lumber and other construction materials merchant wholesalers	4233	Idea
IdeaMachineryEquipmentSuppliesMerchantWholesalersStartup	Idea Machinery, Equipment, and Supplies Merchant Wholesalers Startup	Idea stage startup in machinery, equipment, and supplies merchant wholesalers	4238	Idea
IdeaMachineryManufacturingStartup	Idea Machinery Manufacturing Startup	Idea stage startup in machinery manufacturing	333	Idea
IdeaMachineShopsTurnedProductScrewNutBoltManufacturingStartup	Idea Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing Startup	Idea stage startup in machine shops; turned product; and screw, nut, and bolt manufacturing	3327	Idea
IdeaManagementCompaniesEnterprisesStartup	Idea Management of Companies and Enterprises Startup	Idea stage startup in management of companies and enterprises	55	Idea
IdeaManagementCompaniesEnterprisesStartup	Idea Management of Companies and Enterprises Startup	Idea stage startup in management of companies and enterprises	551	Idea
IdeaManagementCompaniesEnterprisesStartup	Idea Management of Companies and Enterprises Startup	Idea stage startup in management of companies and enterprises	5511	Idea
IdeaManagementScientificTechnicalConsultingServicesStartup	Idea Management, Scientific, and Technical Consulting Services Startup	Idea stage startup in management, scientific, and technical consulting services	5416	Idea
IdeaManufacturingReproducingMagneticOpticalMediaStartup	Idea Manufacturing and Reproducing Magnetic and Optical Media Startup	Idea stage startup in manufacturing and reproducing magnetic and optical media	3346	Idea
IdeaMediaStreamingDistributionServicesSocialNetworksOtherMediaNetworksContentProvidersStartup	Idea Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers Startup	Idea stage startup in media streaming distribution services, social networks, and other media networks and content providers	5162	Idea
IdeaMedicalDiagnosticLaboratoriesStartup	Idea Medical and Diagnostic Laboratories Startup	Idea stage startup in medical and diagnostic laboratories	6215	Idea
IdeaMedicalEquipmentSuppliesManufacturingStartup	Idea Medical Equipment and Supplies Manufacturing Startup	Idea stage startup in medical equipment and supplies manufacturing	3391	Idea
IdeaMerchantWholesalersDurableGoodsStartup	Idea Merchant Wholesalers, Durable Goods Startup	Idea stage startup in merchant wholesalers, durable goods	423	Idea
IdeaMerchantWholesalersNondurableGoodsStartup	Idea Merchant Wholesalers, Nondurable Goods Startup	Idea stage startup in merchant wholesalers, nondurable goods	424	Idea
IdeaMetalMineralExceptPetroleumMerchantWholesalersStartup	Idea Metal and Mineral (except Petroleum) Merchant Wholesalers Startup	Idea stage startup in metal and mineral (except petroleum) merchant wholesalers	4235	Idea
IdeaMetalOreMiningStartup	Idea Metal Ore Mining Startup	Idea stage startup in metal ore mining	2122	Idea
IdeaMetalworkingMachineryManufacturingStartup	Idea Metalworking Machinery Manufacturing Startup	Idea stage startup in metalworking machinery manufacturing	3335	Idea
IdeaMiningExceptOilGasStartup	Idea Mining (except Oil and Gas) Startup	Idea stage startup in mining (except oil and gas)	212	Idea
IdeaMiningQuarryingOilGasExtractionStartup	Idea Mining, Quarrying, and Oil and Gas Extraction Startup	Idea stage startup in mining, quarrying, and oil and gas extraction	21	Idea
IdeaMiscellaneousDurableGoodsMerchantWholesalersStartup	Idea Miscellaneous Durable Goods Merchant Wholesalers Startup	Idea stage startup in miscellaneous durable goods merchant wholesalers	4239	Idea
IdeaMiscellaneousManufacturingStartup	Idea Miscellaneous Manufacturing Startup	Idea stage startup in miscellaneous manufacturing	339	Idea
IdeaMiscellaneousNondurableGoodsMerchantWholesalersStartup	Idea Miscellaneous Nondurable Goods Merchant Wholesalers Startup	Idea stage startup in miscellaneous nondurable goods merchant wholesalers	4249	Idea
IdeaMonetaryAuthoritiesCentralBankStartup	Idea Monetary Authorities-Central Bank Startup	Idea stage startup in monetary authorities-central bank	521	Idea
IdeaMonetaryAuthoritiesCentralBankStartup	Idea Monetary Authorities-Central Bank Startup	Idea stage startup in monetary authorities-central bank	5211	Idea
IdeaMotionPictureSoundRecordingIndustriesStartup	Idea Motion Picture and Sound Recording Industries Startup	Idea stage startup in motion picture and sound recording industries	512	Idea
IdeaMotionPictureVideoIndustriesStartup	Idea Motion Picture and Video Industries Startup	Idea stage startup in motion picture and video industries	5121	Idea
IdeaMotorVehicleBodyTrailerManufacturingStartup	Idea Motor Vehicle Body and Trailer Manufacturing Startup	Idea stage startup in motor vehicle body and trailer manufacturing	3362	Idea
IdeaMotorVehicleManufacturingStartup	Idea Motor Vehicle Manufacturing Startup	Idea stage startup in motor vehicle manufacturing	3361	Idea
IdeaMotorVehicleMotorVehiclePartsSuppliesMerchantWholesalersStartup	Idea Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers Startup	Idea stage startup in motor vehicle and motor vehicle parts and supplies merchant wholesalers	4231	Idea
IdeaMotorVehiclePartsDealersStartup	Idea Motor Vehicle and Parts Dealers Startup	Idea stage startup in motor vehicle and parts dealers	441	Idea
IdeaMotorVehiclePartsManufacturingStartup	Idea Motor Vehicle Parts Manufacturing Startup	Idea stage startup in motor vehicle parts manufacturing	3363	Idea
IdeaMuseumsHistoricalSitesSimilarInstitutionsStartup	Idea Museums, Historical Sites, and Similar Institutions Startup	Idea stage startup in museums, historical sites, and similar institutions	712	Idea
IdeaMuseumsHistoricalSitesSimilarInstitutionsStartup	Idea Museums, Historical Sites, and Similar Institutions Startup	Idea stage startup in museums, historical sites, and similar institutions	7121	Idea
IdeaNationalSecurityInternationalAffairsStartup	Idea National Security and International Affairs Startup	Idea stage startup in national security and international affairs	928	Idea
IdeaNationalSecurityInternationalAffairsStartup	Idea National Security and International Affairs Startup	Idea stage startup in national security and international affairs	9281	Idea
IdeaNaturalGasDistributionStartup	Idea Natural Gas Distribution Startup	Idea stage startup in natural gas distribution	2212	Idea
IdeaNavigationalMeasuringElectromedicalControlInstrumentsManufacturingStartup	Idea Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Startup	Idea stage startup in navigational, measuring, electromedical, and control instruments manufacturing	3345	Idea
IdeaNewspaperPeriodicalBookDirectoryPublishersStartup	Idea Newspaper, Periodical, Book, and Directory Publishers Startup	Idea stage startup in newspaper, periodical, book, and directory publishers	5131	Idea
IdeaNondepositoryCreditIntermediationStartup	Idea Nondepository Credit Intermediation Startup	Idea stage startup in nondepository credit intermediation	5222	Idea
IdeaNonferrousMetalExceptAluminumProductionProcessingStartup	Idea Nonferrous Metal (except Aluminum) Production and Processing Startup	Idea stage startup in nonferrous metal (except aluminum) production and processing	3314	Idea
IdeaNonmetallicMineralMiningQuarryingStartup	Idea Nonmetallic Mineral Mining and Quarrying Startup	Idea stage startup in nonmetallic mineral mining and quarrying	2123	Idea
IdeaNonmetallicMineralProductManufacturingStartup	Idea Nonmetallic Mineral Product Manufacturing Startup	Idea stage startup in nonmetallic mineral product manufacturing	327	Idea
IdeaNonresidentialBuildingConstructionStartup	Idea Nonresidential Building Construction Startup	Idea stage startup in nonresidential building construction	2362	Idea
IdeaNonscheduledAirTransportationStartup	Idea Nonscheduled Air Transportation Startup	Idea stage startup in nonscheduled air transportation	4812	Idea
IdeaNursingCareFacilitiesSkilledNursingFacilitiesStartup	Idea Nursing Care Facilities (Skilled Nursing Facilities) Startup	Idea stage startup in nursing care facilities (skilled nursing facilities)	6231	Idea
IdeaNursingResidentialCareFacilitiesStartup	Idea Nursing and Residential Care Facilities Startup	Idea stage startup in nursing and residential care facilities	623	Idea
IdeaOfficeAdministrativeServicesStartup	Idea Office Administrative Services Startup	Idea stage startup in office administrative services	5611	Idea
IdeaOfficeFurnitureIncludingFixturesManufacturingStartup	Idea Office Furniture (including Fixtures) Manufacturing Startup	Idea stage startup in office furniture (including fixtures) manufacturing	3372	Idea
IdeaOfficesDentistsStartup	Idea Offices of Dentists Startup	Idea stage startup in offices of dentists	6212	Idea
IdeaOfficesOtherHealthPractitionersStartup	Idea Offices of Other Health Practitioners Startup	Idea stage startup in offices of other health practitioners	6213	Idea
IdeaOfficesPhysiciansStartup	Idea Offices of Physicians Startup	Idea stage startup in offices of physicians	6211	Idea
IdeaOfficesRealEstateAgentsBrokersStartup	Idea Offices of Real Estate Agents and Brokers Startup	Idea stage startup in offices of real estate agents and brokers	5312	Idea
IdeaOfficeSuppliesStationeryGiftRetailersStartup	Idea Office Supplies, Stationery, and Gift Retailers Startup	Idea stage startup in office supplies, stationery, and gift retailers	4594	Idea
IdeaOilGasExtractionStartup	Idea Oil and Gas Extraction Startup	Idea stage startup in oil and gas extraction	211	Idea
IdeaOilGasExtractionStartup	Idea Oil and Gas Extraction Startup	Idea stage startup in oil and gas extraction	2111	Idea
IdeaOilseedGrainFarmingStartup	Idea Oilseed and Grain Farming Startup	Idea stage startup in oilseed and grain farming	1111	Idea
IdeaOtherAmbulatoryHealthCareServicesStartup	Idea Other Ambulatory Health Care Services Startup	Idea stage startup in other ambulatory health care services	6219	Idea
IdeaOtherAmusementRecreationIndustriesStartup	Idea Other Amusement and Recreation Industries Startup	Idea stage startup in other amusement and recreation industries	7139	Idea
IdeaOtherAnimalProductionStartup	Idea Other Animal Production Startup	Idea stage startup in other animal production	1129	Idea
IdeaOtherChemicalProductPreparationManufacturingStartup	Idea Other Chemical Product and Preparation Manufacturing Startup	Idea stage startup in other chemical product and preparation manufacturing	3259	Idea
IdeaOtherCropFarmingStartup	Idea Other Crop Farming Startup	Idea stage startup in other crop farming	1119	Idea
IdeaOtherElectricalEquipmentComponentManufacturingStartup	Idea Other Electrical Equipment and Component Manufacturing Startup	Idea stage startup in other electrical equipment and component manufacturing	3359	Idea
IdeaOtherFabricatedMetalProductManufacturingStartup	Idea Other Fabricated Metal Product Manufacturing Startup	Idea stage startup in other fabricated metal product manufacturing	3329	Idea
IdeaOtherFinancialInvestmentActivitiesStartup	Idea Other Financial Investment Activities Startup	Idea stage startup in other financial investment activities	5239	Idea
IdeaOtherFoodManufacturingStartup	Idea Other Food Manufacturing Startup	Idea stage startup in other food manufacturing	3119	Idea
IdeaOtherFurnitureRelatedProductManufacturingStartup	Idea Other Furniture Related Product Manufacturing Startup	Idea stage startup in other furniture related product manufacturing	3379	Idea
IdeaOtherGeneralPurposeMachineryManufacturingStartup	Idea Other General Purpose Machinery Manufacturing Startup	Idea stage startup in other general purpose machinery manufacturing	3339	Idea
IdeaOtherHeavyCivilEngineeringConstructionStartup	Idea Other Heavy and Civil Engineering Construction Startup	Idea stage startup in other heavy and civil engineering construction	2379	Idea
IdeaOtherInvestmentPoolsFundsStartup	Idea Other Investment Pools and Funds Startup	Idea stage startup in other investment pools and funds	5259	Idea
IdeaOtherLeatherAlliedProductManufacturingStartup	Idea Other Leather and Allied Product Manufacturing Startup	Idea stage startup in other leather and allied product manufacturing	3169	Idea
IdeaOtherMiscellaneousManufacturingStartup	Idea Other Miscellaneous Manufacturing Startup	Idea stage startup in other miscellaneous manufacturing	3399	Idea
IdeaOtherMiscellaneousRetailersStartup	Idea Other Miscellaneous Retailers Startup	Idea stage startup in other miscellaneous retailers	4599	Idea
IdeaOtherMotorVehicleDealersStartup	Idea Other Motor Vehicle Dealers Startup	Idea stage startup in other motor vehicle dealers	4412	Idea
IdeaOtherNonmetallicMineralProductManufacturingStartup	Idea Other Nonmetallic Mineral Product Manufacturing Startup	Idea stage startup in other nonmetallic mineral product manufacturing	3279	Idea
IdeaOtherPersonalServicesStartup	Idea Other Personal Services Startup	Idea stage startup in other personal services	8129	Idea
IdeaOtherPipelineTransportationStartup	Idea Other Pipeline Transportation Startup	Idea stage startup in other pipeline transportation	4869	Idea
IdeaOtherProfessionalScientificTechnicalServicesStartup	Idea Other Professional, Scientific, and Technical Services Startup	Idea stage startup in other professional, scientific, and technical services	5419	Idea
IdeaOtherResidentialCareFacilitiesStartup	Idea Other Residential Care Facilities Startup	Idea stage startup in other residential care facilities	6239	Idea
IdeaOtherSchoolsInstructionStartup	Idea Other Schools and Instruction Startup	Idea stage startup in other schools and instruction	6116	Idea
IdeaOtherServicesExceptPublicAdministrationStartup	Idea Other Services (except Public Administration) Startup	Idea stage startup in other services (except public administration)	81	Idea
IdeaOtherSpecialtyTradeContractorsStartup	Idea Other Specialty Trade Contractors Startup	Idea stage startup in other specialty trade contractors	2389	Idea
IdeaOtherSupportActivitiesTransportationStartup	Idea Other Support Activities for Transportation Startup	Idea stage startup in other support activities for transportation	4889	Idea
IdeaOtherSupportServicesStartup	Idea Other Support Services Startup	Idea stage startup in other support services	5619	Idea
IdeaOtherTextileProductMillsStartup	Idea Other Textile Product Mills Startup	Idea stage startup in other textile product mills	3149	Idea
IdeaOtherTransitGroundPassengerTransportationStartup	Idea Other Transit and Ground Passenger Transportation Startup	Idea stage startup in other transit and ground passenger transportation	4859	Idea
IdeaOtherTransportationEquipmentManufacturingStartup	Idea Other Transportation Equipment Manufacturing Startup	Idea stage startup in other transportation equipment manufacturing	3369	Idea
IdeaOtherWoodProductManufacturingStartup	Idea Other Wood Product Manufacturing Startup	Idea stage startup in other wood product manufacturing	3219	Idea
IdeaOutpatientCareCentersStartup	Idea Outpatient Care Centers Startup	Idea stage startup in outpatient care centers	6214	Idea
IdeaPaintCoatingAdhesiveManufacturingStartup	Idea Paint, Coating, and Adhesive Manufacturing Startup	Idea stage startup in paint, coating, and adhesive manufacturing	3255	Idea
IdeaPaperManufacturingStartup	Idea Paper Manufacturing Startup	Idea stage startup in paper manufacturing	322	Idea
IdeaPaperPaperProductMerchantWholesalersStartup	Idea Paper and Paper Product Merchant Wholesalers Startup	Idea stage startup in paper and paper product merchant wholesalers	4241	Idea
IdeaPerformingArtsCompaniesStartup	Idea Performing Arts Companies Startup	Idea stage startup in performing arts companies	7111	Idea
IdeaPerformingArtsSpectatorSportsRelatedIndustriesStartup	Idea Performing Arts, Spectator Sports, and Related Industries Startup	Idea stage startup in performing arts, spectator sports, and related industries	711	Idea
IdeaPersonalCareServicesStartup	Idea Personal Care Services Startup	Idea stage startup in personal care services	8121	Idea
IdeaPersonalHouseholdGoodsRepairMaintenanceStartup	Idea Personal and Household Goods Repair and Maintenance Startup	Idea stage startup in personal and household goods repair and maintenance	8114	Idea
IdeaPersonalLaundryServicesStartup	Idea Personal and Laundry Services Startup	Idea stage startup in personal and laundry services	812	Idea
IdeaPesticideFertilizerOtherAgriculturalChemicalManufacturingStartup	Idea Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing Startup	Idea stage startup in pesticide, fertilizer, and other agricultural chemical manufacturing	3253	Idea
IdeaPetroleumCoalProductsManufacturingStartup	Idea Petroleum and Coal Products Manufacturing Startup	Idea stage startup in petroleum and coal products manufacturing	324	Idea
IdeaPetroleumCoalProductsManufacturingStartup	Idea Petroleum and Coal Products Manufacturing Startup	Idea stage startup in petroleum and coal products manufacturing	3241	Idea
IdeaPetroleumPetroleumProductsMerchantWholesalersStartup	Idea Petroleum and Petroleum Products Merchant Wholesalers Startup	Idea stage startup in petroleum and petroleum products merchant wholesalers	4247	Idea
IdeaPharmaceuticalMedicineManufacturingStartup	Idea Pharmaceutical and Medicine Manufacturing Startup	Idea stage startup in pharmaceutical and medicine manufacturing	3254	Idea
IdeaPipelineTransportationCrudeOilStartup	Idea Pipeline Transportation of Crude Oil Startup	Idea stage startup in pipeline transportation of crude oil	4861	Idea
IdeaPipelineTransportationNaturalGasStartup	Idea Pipeline Transportation of Natural Gas Startup	Idea stage startup in pipeline transportation of natural gas	4862	Idea
IdeaPipelineTransportationStartup	Idea Pipeline Transportation Startup	Idea stage startup in pipeline transportation	486	Idea
IdeaPlasticsProductManufacturingStartup	Idea Plastics Product Manufacturing Startup	Idea stage startup in plastics product manufacturing	3261	Idea
IdeaPlasticsRubberProductsManufacturingStartup	Idea Plastics and Rubber Products Manufacturing Startup	Idea stage startup in plastics and rubber products manufacturing	326	Idea
IdeaPostalServiceStartup	Idea Postal Service Startup	Idea stage startup in postal service	491	Idea
IdeaPostalServiceStartup	Idea Postal Service Startup	Idea stage startup in postal service	4911	Idea
IdeaPoultryEggProductionStartup	Idea Poultry and Egg Production Startup	Idea stage startup in poultry and egg production	1123	Idea
IdeaPrimaryMetalManufacturingStartup	Idea Primary Metal Manufacturing Startup	Idea stage startup in primary metal manufacturing	331	Idea
IdeaPrintingRelatedSupportActivitiesStartup	Idea Printing and Related Support Activities Startup	Idea stage startup in printing and related support activities	323	Idea
IdeaPrintingRelatedSupportActivitiesStartup	Idea Printing and Related Support Activities Startup	Idea stage startup in printing and related support activities	3231	Idea
IdeaPrivateHouseholdsStartup	Idea Private Households Startup	Idea stage startup in private households	814	Idea
IdeaPrivateHouseholdsStartup	Idea Private Households Startup	Idea stage startup in private households	8141	Idea
IdeaProfessionalCommercialEquipmentSuppliesMerchantWholesalersStartup	Idea Professional and Commercial Equipment and Supplies Merchant Wholesalers Startup	Idea stage startup in professional and commercial equipment and supplies merchant wholesalers	4234	Idea
IdeaProfessionalScientificTechnicalServicesStartup	Idea Professional, Scientific, and Technical Services Startup	Idea stage startup in professional, scientific, and technical services	54	Idea
IdeaProfessionalScientificTechnicalServicesStartup	Idea Professional, Scientific, and Technical Services Startup	Idea stage startup in professional, scientific, and technical services	541	Idea
IdeaPromotersPerformingArtsSportsSimilarEventsStartup	Idea Promoters of Performing Arts, Sports, and Similar Events Startup	Idea stage startup in promoters of performing arts, sports, and similar events	7113	Idea
IdeaPsychiatricSubstanceAbuseHospitalsStartup	Idea Psychiatric and Substance Abuse Hospitals Startup	Idea stage startup in psychiatric and substance abuse hospitals	6222	Idea
IdeaPublicAdministrationStartup	Idea Public Administration Startup	Idea stage startup in public administration	92	Idea
IdeaPublishingIndustriesStartup	Idea Publishing Industries Startup	Idea stage startup in publishing industries	513	Idea
IdeaPulpPaperPaperboardMillsStartup	Idea Pulp, Paper, and Paperboard Mills Startup	Idea stage startup in pulp, paper, and paperboard mills	3221	Idea
IdeaRadioTelevisionBroadcastingStationsStartup	Idea Radio and Television Broadcasting Stations Startup	Idea stage startup in radio and television broadcasting stations	5161	Idea
IdeaRailroadRollingStockManufacturingStartup	Idea Railroad Rolling Stock Manufacturing Startup	Idea stage startup in railroad rolling stock manufacturing	3365	Idea
IdeaRailTransportationStartup	Idea Rail Transportation Startup	Idea stage startup in rail transportation	482	Idea
IdeaRailTransportationStartup	Idea Rail Transportation Startup	Idea stage startup in rail transportation	4821	Idea
IdeaRealEstateRentalLeasingStartup	Idea Real Estate and Rental and Leasing Startup	Idea stage startup in real estate and rental and leasing	53	Idea
IdeaRealEstateStartup	Idea Real Estate Startup	Idea stage startup in real estate	531	Idea
IdeaReligiousGrantmakingCivicProfessionalSimilarOrganizationsStartup	Idea Religious, Grantmaking, Civic, Professional, and Similar Organizations Startup	Idea stage startup in religious, grantmaking, civic, professional, and similar organizations	813	Idea
IdeaReligiousOrganizationsStartup	Idea Religious Organizations Startup	Idea stage startup in religious organizations	8131	Idea
IdeaRemediationOtherWasteManagementServicesStartup	Idea Remediation and Other Waste Management Services Startup	Idea stage startup in remediation and other waste management services	5629	Idea
IdeaRentalLeasingServicesStartup	Idea Rental and Leasing Services Startup	Idea stage startup in rental and leasing services	532	Idea
IdeaRepairMaintenanceStartup	Idea Repair and Maintenance Startup	Idea stage startup in repair and maintenance	811	Idea
IdeaResidentialBuildingConstructionStartup	Idea Residential Building Construction Startup	Idea stage startup in residential building construction	2361	Idea
IdeaResidentialIntellectualDevelopmentalDisabilityMentalHealthSubstanceAbuseFacilitiesStartup	Idea Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities Startup	Idea stage startup in residential intellectual and developmental disability, mental health, and substance abuse facilities	6232	Idea
IdeaResinSyntheticRubberArtificialSyntheticFibersFilamentsManufacturingStartup	Idea Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing Startup	Idea stage startup in resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing	3252	Idea
IdeaRestaurantsOtherEatingPlacesStartup	Idea Restaurants and Other Eating Places Startup	Idea stage startup in restaurants and other eating places	7225	Idea
IdeaRoomingBoardingHousesDormitoriesWorkers'CampsStartup	Idea Rooming and Boarding Houses, Dormitories, and Workers' Camps Startup	Idea stage startup in rooming and boarding houses, dormitories, and workers' camps	7213	Idea
IdeaRubberProductManufacturingStartup	Idea Rubber Product Manufacturing Startup	Idea stage startup in rubber product manufacturing	3262	Idea
IdeaRvRecreationalVehicleParksRecreationalCampsStartup	Idea RV (Recreational Vehicle) Parks and Recreational Camps Startup	Idea stage startup in rv (recreational vehicle) parks and recreational camps	7212	Idea
IdeaSatelliteTelecommunicationsStartup	Idea Satellite Telecommunications Startup	Idea stage startup in satellite telecommunications	5174	Idea
IdeaSawmillsWoodPreservationStartup	Idea Sawmills and Wood Preservation Startup	Idea stage startup in sawmills and wood preservation	3211	Idea
IdeaScenicSightseeingTransportationLandStartup	Idea Scenic and Sightseeing Transportation, Land Startup	Idea stage startup in scenic and sightseeing transportation, land	4871	Idea
IdeaScenicSightseeingTransportationOtherStartup	Idea Scenic and Sightseeing Transportation, Other Startup	Idea stage startup in scenic and sightseeing transportation, other	4879	Idea
IdeaScenicSightseeingTransportationStartup	Idea Scenic and Sightseeing Transportation Startup	Idea stage startup in scenic and sightseeing transportation	487	Idea
IdeaScenicSightseeingTransportationWaterStartup	Idea Scenic and Sightseeing Transportation, Water Startup	Idea stage startup in scenic and sightseeing transportation, water	4872	Idea
IdeaScheduledAirTransportationStartup	Idea Scheduled Air Transportation Startup	Idea stage startup in scheduled air transportation	4811	Idea
IdeaSchoolEmployeeBusTransportationStartup	Idea School and Employee Bus Transportation Startup	Idea stage startup in school and employee bus transportation	4854	Idea
IdeaScientificResearchDevelopmentServicesStartup	Idea Scientific Research and Development Services Startup	Idea stage startup in scientific research and development services	5417	Idea
IdeaSeafoodProductPreparationPackagingStartup	Idea Seafood Product Preparation and Packaging Startup	Idea stage startup in seafood product preparation and packaging	3117	Idea
IdeaSecuritiesCommodityContractsIntermediationBrokerageStartup	Idea Securities and Commodity Contracts Intermediation and Brokerage Startup	Idea stage startup in securities and commodity contracts intermediation and brokerage	5231	Idea
IdeaSecuritiesCommodityContractsOtherFinancialInvestmentsRelatedActivitiesStartup	Idea Securities, Commodity Contracts, and Other Financial Investments and Related Activities Startup	Idea stage startup in securities, commodity contracts, and other financial investments and related activities	523	Idea
IdeaSecuritiesCommodityExchangesStartup	Idea Securities and Commodity Exchanges Startup	Idea stage startup in securities and commodity exchanges	5232	Idea
IdeaSemiconductorOtherElectronicComponentManufacturingStartup	Idea Semiconductor and Other Electronic Component Manufacturing Startup	Idea stage startup in semiconductor and other electronic component manufacturing	3344	Idea
IdeaServicesBuildingsDwellingsStartup	Idea Services to Buildings and Dwellings Startup	Idea stage startup in services to buildings and dwellings	5617	Idea
IdeaSheepGoatFarmingStartup	Idea Sheep and Goat Farming Startup	Idea stage startup in sheep and goat farming	1124	Idea
IdeaShipBoatBuildingStartup	Idea Ship and Boat Building Startup	Idea stage startup in ship and boat building	3366	Idea
IdeaShoeRetailersStartup	Idea Shoe Retailers Startup	Idea stage startup in shoe retailers	4582	Idea
IdeaSoapCleaningCompoundToiletPreparationManufacturingStartup	Idea Soap, Cleaning Compound, and Toilet Preparation Manufacturing Startup	Idea stage startup in soap, cleaning compound, and toilet preparation manufacturing	3256	Idea
IdeaSocialAdvocacyOrganizationsStartup	Idea Social Advocacy Organizations Startup	Idea stage startup in social advocacy organizations	8133	Idea
IdeaSocialAssistanceStartup	Idea Social Assistance Startup	Idea stage startup in social assistance	624	Idea
IdeaSoftwarePublishersStartup	Idea Software Publishers Startup	Idea stage startup in software publishers	5132	Idea
IdeaSoundRecordingIndustriesStartup	Idea Sound Recording Industries Startup	Idea stage startup in sound recording industries	5122	Idea
IdeaSpaceResearchTechnologyStartup	Idea Space Research and Technology Startup	Idea stage startup in space research and technology	927	Idea
IdeaSpaceResearchTechnologyStartup	Idea Space Research and Technology Startup	Idea stage startup in space research and technology	9271	Idea
IdeaSpecialFoodServicesStartup	Idea Special Food Services Startup	Idea stage startup in special food services	7223	Idea
IdeaSpecializedDesignServicesStartup	Idea Specialized Design Services Startup	Idea stage startup in specialized design services	5414	Idea
IdeaSpecializedFreightTruckingStartup	Idea Specialized Freight Trucking Startup	Idea stage startup in specialized freight trucking	4842	Idea
