taskId	occupation
CommunityServiceManagers.provide.Support.to.Clients	Social and Community Service Managers
SocialServiceManagers.establish.Relationships.with.OtherAgenciesOrganizations.in.Community.to.MeetCommunityNeeds.to.EnsureServicesAreNotDuplicated	Social and Community Service Managers
SocialServiceManagers.maintain.Relationships.with.OtherAgenciesOrganizations.in.Community.to.MeetCommunityNeeds.to.EnsureServicesAreNotDuplicated	Social and Community Service Managers
CommunityServiceManagers.establish.Relationships.with.OtherAgenciesOrganizations.in.Community.to.MeetCommunityNeeds.to.EnsureServicesAreNotDuplicated	Social and Community Service Managers
CommunityServiceManagers.maintain.Relationships.with.OtherAgenciesOrganizations.in.Community.to.MeetCommunityNeeds.to.EnsureServicesAreNotDuplicated	Social and Community Service Managers
SocialServiceManagers.recruit.Sign.up.VolunteersStaff	Social and Community Service Managers
SocialServiceManagers.interview.Sign.up.VolunteersStaff	Social and Community Service Managers
SocialServiceManagers.hire.Sign.up.VolunteersStaff	Social and Community Service Managers
CommunityServiceManagers.recruit.Sign.up.VolunteersStaff	Social and Community Service Managers
CommunityServiceManagers.interview.Sign.up.VolunteersStaff	Social and Community Service Managers
CommunityServiceManagers.hire.Sign.up.VolunteersStaff	Social and Community Service Managers
SocialServiceManagers.research.MemberCommunityNeeds.to.DetermineProgramDirectionsGoals	Social and Community Service Managers
SocialServiceManagers.analyze.MemberCommunityNeeds.to.DetermineProgramDirectionsGoals	Social and Community Service Managers
CommunityServiceManagers.research.MemberCommunityNeeds.to.DetermineProgramDirectionsGoals	Social and Community Service Managers
CommunityServiceManagers.analyze.MemberCommunityNeeds.to.DetermineProgramDirectionsGoals	Social and Community Service Managers
SocialServiceManagers.implement.Staff	Social and Community Service Managers
SocialServiceManagers.evaluate.Staff	Social and Community Service Managers
CommunityServiceManagers.implement.Staff	Social and Community Service Managers
CommunityServiceManagers.evaluate.Staff	Social and Community Service Managers
SocialServiceManagers.consultants.to.AgencyStaffOtherCommunityProgramsRegardingInterpretation.of.Program	Social and Community Service Managers
CommunityServiceManagers.consultants.to.AgencyStaffOtherCommunityProgramsRegardingInterpretation.of.Program	Social and Community Service Managers
SocialServiceManagers.speak.to.CommunityGroups.to.ExplainAgencyPurposes	Social and Community Service Managers
SocialServiceManagers.speak.to.CommunityGroups.to.InterpretAgencyPurposes	Social and Community Service Managers
CommunityServiceManagers.speak.to.CommunityGroups.to.ExplainAgencyPurposes	Social and Community Service Managers
CommunityServiceManagers.speak.to.CommunityGroups.to.InterpretAgencyPurposes	Social and Community Service Managers
SocialServiceManagers.analyze.ProposedLegislation	Social and Community Service Managers
SocialServiceManagers.analyze.RuleChanges.to.DetermineHowAgencyServicesCouldBeImpacted	Social and Community Service Managers
CommunityServiceManagers.analyze.ProposedLegislation	Social and Community Service Managers
CommunityServiceManagers.analyze.RuleChanges.to.DetermineHowAgencyServicesCouldBeImpacted	Social and Community Service Managers
SocialServiceManagers.plan.Budgets.for.Programs	Social and Community Service Managers
SocialServiceManagers.administer.Budgets.for.Programs	Social and Community Service Managers
CommunityServiceManagers.plan.Budgets.for.Programs	Social and Community Service Managers
CommunityServiceManagers.administer.Budgets.for.Programs	Social and Community Service Managers
SocialServiceManagers.organizations.in.Relations.with.GovernmentalMediaInstitutions	Social and Community Service Managers
CommunityServiceManagers.organizations.in.Relations.with.GovernmentalMediaInstitutions	Social and Community Service Managers
SocialServiceManagers.direct.FundraisingActivitiesPreparation.of.PublicRelationsMaterials	Social and Community Service Managers
SocialServiceManagers.direct.Preparation.of.PublicRelationsMaterials	Social and Community Service Managers
CommunityServiceManagers.direct.FundraisingActivitiesPreparation.of.PublicRelationsMaterials	Social and Community Service Managers
CommunityServiceManagers.direct.Preparation.of.PublicRelationsMaterials	Social and Community Service Managers
EmergencyManagementDirectors.consult.with.Officials.of.LocalGovernments	Emergency Management Directors
EmergencyManagementDirectors.consult.with.Officials.of.AreaGovernments	Emergency Management Directors
EmergencyManagementDirectors.develop.Liaisons.with.Municipalities	Emergency Management Directors
EmergencyManagementDirectors.maintain.Liaisons.with.Municipalities	Emergency Management Directors
EmergencyManagementDirectors.coordinate.DisasterResponseManagementActivities	Emergency Management Directors
EmergencyManagementDirectors.coordinate.Programs	Emergency Management Directors
EmergencyManagementDirectors.coordinate.ImplementingSpecialNeedsPlans	Emergency Management Directors
EmergencyManagementDirectors.coordinate.Programs	Emergency Management Directors
EmergencyManagementDirectors.coordinate.CrisisManagementActivities	Emergency Management Directors
EmergencyManagementDirectors.coordinate.Programs	Emergency Management Directors
EmergencyManagementDirectors.coordinate.ImplementingSpecialNeedsPlans	Emergency Management Directors
EmergencyManagementDirectors.coordinate.Programs	Emergency Management Directors
EmergencyManagementDirectors.prepare.EmergencySituationStatusReportsDescribeResponseEfforts	Emergency Management Directors
EmergencyManagementDirectors.prepare.PreliminaryDamageAssessments	Emergency Management Directors
EmergencyManagementDirectors.prepare.RecoveryEfforts	Emergency Management Directors
EmergencyManagementDirectors.prepare.PreliminaryDamageAssessments	Emergency Management Directors
EmergencyManagementDirectors.maintain.ResourceMaterialsAssociated.with.EmergencyPreparednessPlans	Emergency Management Directors
EmergencyManagementDirectors.update.ResourceMaterialsAssociated.with.EmergencyPreparednessPlans	Emergency Management Directors
EmergencyManagementDirectors.prepare.PlansOutlineOperatingProcedures.to.BeUsed.in.Response.to.DisastersSuchAsHurricanes	Emergency Management Directors
EmergencyManagementDirectors.prepare.PlansOutlineOperatingProcedures.to.Emergencies	Emergency Management Directors
EmergencyManagementDirectors.develop.TestsEvaluations.of.EmergencyManagementPlans.in.Accordance.with.StateFederalRegulations	Emergency Management Directors
EmergencyManagementDirectors.perform.TestsEvaluations.of.EmergencyManagementPlans.in.Accordance.with.StateFederalRegulations	Emergency Management Directors
EmergencyManagementDirectors.collaborate.with.OtherOfficials.to.PrepareDamageAssessmentsFollowingDisastersEmergencies	Emergency Management Directors
EmergencyManagementDirectors.collaborate.with.OtherOfficials.to.AnalyzeDamageAssessmentsFollowingDisastersEmergencies	Emergency Management Directors
EmergencyManagementDirectors.design.EmergencyDisasterPreparednessTrainingCoursesTeachPeopleHow.to.EffectivelyRespond.to.MajorEmergenciesDisasters	Emergency Management Directors
EmergencyManagementDirectors.administer.EmergencyDisasterPreparednessTrainingCoursesTeachPeopleHow.to.EffectivelyRespond.to.MajorEmergenciesDisasters	Emergency Management Directors
EmergencyManagementDirectors.keep.Informed.of.ActivitiesCouldAffectLikelihood.of.Emergency	Emergency Management Directors
EmergencyManagementDirectors.keep.Informed.of.ChangesCouldAffectLikelihood.of.Emergency	Emergency Management Directors
EmergencyManagementDirectors.inspect.FacilitiesSuchAsEmergencyManagementCentersCommunicationsEquipment	Emergency Management Directors
EmergencyManagementDirectors.inspect.FacilitiesSuchAsEmergencyManagementCentersCommunicationsEquipment	Emergency Management Directors
EmergencyManagementDirectors.inspect.Equipment	Emergency Management Directors
EmergencyManagementDirectors.inspect.Equipment	Emergency Management Directors
EmergencyManagementDirectors.review.EmergencyPlans.of.IndividualOrganizations	Emergency Management Directors
EmergencyManagementDirectors.keep.Informed.of.Federal	Emergency Management Directors
EmergencyManagementDirectors.keep.Informed.of.LocalRegulationsAffectingEmergencyPlans	Emergency Management Directors
EmergencyManagementDirectors.conduct.Surveys.to.DetermineTypes.of.Emergency	Emergency Management Directors
EmergencyManagementDirectors.conduct.Surveys.to.ProvideTechnicalSupport.to.OthersConductingSuchSurveys	Emergency Management Directors
EmergencyManagementDirectors.meetings	Emergency Management Directors
EmergencyManagementDirectors.propose.Alteration.of.EmergencyResponseProcedures	Emergency Management Directors
EmergencyManagementDirectors.propose.Alteration.of.KnowledgeGained.from.Outcomes.of.PreviousEmergencySituations	Emergency Management Directors
EmergencyManagementDirectors.develop.InstructionalMaterials.for.PublicPresentations.to.CitizensGroups.to.ProvideInformation.on.EmergencyPlansImplementationProcesses	Emergency Management Directors
EmergencyManagementDirectors.develop.InstructionalMaterials.for.MakePresentations.to.CitizensGroups.to.ProvideInformation.on.EmergencyPlansImplementationProcesses	Emergency Management Directors
EmergencyManagementDirectors.apply.for.FederalFunding.for.Emergency	Emergency Management Directors
EmergencyManagementDirectors.apply.for.FederalFunding.for.AdministerReport.on.Progress.of.SuchGrants	Emergency Management Directors
EmergencyManagementDirectors.train.LocalGroups.in.Preparation.of.Long	Emergency Management Directors
EmergencyManagementDirectors.train.LocalGroups.in.StatePlans	Emergency Management Directors
EmergencyManagementDirectors.provide.Communities.with.Assistance.in.Applying.for.FederalFunding.for.EmergencyManagementFacilities	Emergency Management Directors
EmergencyManagementDirectors.provide.Communities.with.RelatedItems	Emergency Management Directors
EmergencyManagementDirectors.emergency.PlansUsedElsewhere.to.GatherInformation.for.PlanDevelopment	Emergency Management Directors
EmergencyManagementDirectors.develop.TrainingProceduresStrategies.for.RadiologicalProtection	Emergency Management Directors
EmergencyManagementDirectors.implement.TrainingProceduresStrategies.for.RadiologicalProtection	Emergency Management Directors
EmergencyManagementDirectors.inventory.Nuclear	Emergency Management Directors
EmergencyManagementDirectors.distribute.Nuclear	Emergency Management Directors
FuneralHomeManagers.consult.with.Families.of.Deceased.to.ArrangeFuneralDetails	Funeral Home Managers
FuneralHomeManagers.consult.with.Families.of.Plans.for.Services	Funeral Home Managers
FuneralHomeManagers.consult.Friends.of.Deceased.to.ArrangeFuneralDetails	Funeral Home Managers
FuneralHomeManagers.consult.Friends.of.Plans.for.Services	Funeral Home Managers
FuneralHomeManagers.schedule.Funerals	Funeral Home Managers
FuneralHomeManagers.schedule.Cremations	Funeral Home Managers
FuneralHomeManagers.deliver.DeathCertificates.to.MedicalFacilities.to.ObtainSignatures.from.LegallyAuthorizedPersons	Funeral Home Managers
FuneralHomeManagers.deliver.DeathCertificates.to.Offices.to.ObtainSignatures.from.LegallyAuthorizedPersons	Funeral Home Managers
FuneralHomeManagers.offer.Counsel.to.Families.of.Deceased	Funeral Home Managers
FuneralHomeManagers.offer.Counsel.to.Friends.of.Deceased	Funeral Home Managers
FuneralHomeManagers.offer.Comfort.to.Families.of.Deceased	Funeral Home Managers
FuneralHomeManagers.offer.Comfort.to.Friends.of.Deceased	Funeral Home Managers
FuneralHomeManagers.monitor.FuneralServiceOperations.to.EnsureTheyComply.with.ApplicablePolicies	Funeral Home Managers
FuneralHomeManagers.monitor.FuneralServiceOperations.to.Laws	Funeral Home Managers
FuneralHomeManagers.direct.Work.of.Embalmers	Funeral Home Managers
FuneralHomeManagers.supervise.Work.of.Embalmers	Funeral Home Managers
FuneralHomeManagers.complete.Records	Funeral Home Managers
FuneralHomeManagers.maintain.Records	Funeral Home Managers
FuneralHomeManagers.sell.FuneralServices	Funeral Home Managers
FuneralHomeManagers.sell.Merchandise.to.Clients	Funeral Home Managers
FuneralHomeManagers.plan.Changes.to.ServiceOfferings.to.MeetCommunityNeedsIncreaseFuneralHomeRevenues	Funeral Home Managers
FuneralHomeManagers.implement.Changes.to.ServiceOfferings.to.MeetCommunityNeedsIncreaseFuneralHomeRevenues	Funeral Home Managers
FuneralHomeManagers.respond.to.CustomerComplaints	Funeral Home Managers
FuneralHomeManagers.respond.OtherPost	Funeral Home Managers
FuneralHomeManagers.negotiate.Contracts.for.PrearrangedFuneralServices	Funeral Home Managers
FuneralHomeManagers.explain.Goals	Funeral Home Managers
FuneralHomeManagers.explain.Procedures.to.StaffMembers	Funeral Home Managers
FuneralHomeManagers.schedule.WorkHours.for.FuneralHomeEmployees	Funeral Home Managers
FuneralHomeManagers.schedule.WorkHours.for.ContractEmployees	Funeral Home Managers
FuneralHomeManagers.set.PricesTerms.for.FuneralProducts	Funeral Home Managers
FuneralHomeManagers.set.PricesTerms.for.Services	Funeral Home Managers
FuneralHomeManagers.set.CreditTerms.for.FuneralProducts	Funeral Home Managers
FuneralHomeManagers.set.CreditTerms.for.Services	Funeral Home Managers
FuneralHomeManagers.review.FinancialStatements	Funeral Home Managers
FuneralHomeManagers.review.FinancialStatements	Funeral Home Managers
FuneralHomeManagers.review.ActivityReports	Funeral Home Managers
FuneralHomeManagers.review.ActivityReports	Funeral Home Managers
FuneralHomeManagers.interview.NewEmployees	Funeral Home Managers
FuneralHomeManagers.hire.NewEmployees	Funeral Home Managers
FuneralHomeManagers.identify.SkillDevelopmentNeeds.for.FuneralHomeStaff	Funeral Home Managers
FuneralHomeManagers.direct.Administrative	Funeral Home Managers
FuneralHomeManagers.direct.MaintenanceServices.for.FuneralHomes	Funeral Home Managers
FuneralHomeManagers.monitor.Administrative	Funeral Home Managers
FuneralHomeManagers.monitor.MaintenanceServices.for.FuneralHomes	Funeral Home Managers
FuneralHomeManagers.set.Marketing	Funeral Home Managers
FuneralHomeManagers.set.Marketing	Funeral Home Managers
FuneralHomeManagers.set.OtherFinancialGoals.for.FuneralServiceEstablishmentsProgressTowardGoals	Funeral Home Managers
FuneralHomeManagers.set.OtherFinancialGoals.for.MonitorProgressTowardGoals	Funeral Home Managers
FuneralHomeManagers.make.Presentations.at.CommunityEvents.to.PromoteFuneralHomeServicesBuildCommunityRelationships	Funeral Home Managers
FuneralHomeManagers.evaluate.Performance.of.Vendors	Funeral Home Managers
FuneralHomeManagers.evaluate.Performance.of.OtherServiceProviders.to.EnsureQualityCost	Funeral Home Managers
FuneralHomeManagers.conduct.MarketResearchIndustryTrends	Funeral Home Managers
FuneralHomeManagers.conduct.AnalyzeIndustryTrends	Funeral Home Managers
FuneralHomeManagers.plan.SalesPromotionsOtherMarketingStrategiesActivities.for.FuneralHomeOperations	Funeral Home Managers
FuneralHomeManagers.implement.SalesPromotionsOtherMarketingStrategiesActivities.for.FuneralHomeOperations	Funeral Home Managers
FitnessCoordinators.maintain.Wellness	Fitness and Wellness Coordinators
FitnessCoordinators.maintain.Reports	Fitness and Wellness Coordinators
FitnessCoordinators.maintain.Fitness	Fitness and Wellness Coordinators
FitnessCoordinators.maintain.Reports	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.Wellness	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.Reports	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.Fitness	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.Reports	Fitness and Wellness Coordinators
FitnessCoordinators.develop.FitnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.develop.Services	Fitness and Wellness Coordinators
FitnessCoordinators.develop.WellnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.develop.Services	Fitness and Wellness Coordinators
FitnessCoordinators.coordinate.FitnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.coordinate.Services	Fitness and Wellness Coordinators
FitnessCoordinators.coordinate.WellnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.coordinate.Services	Fitness and Wellness Coordinators
WellnessCoordinators.develop.FitnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.develop.Services	Fitness and Wellness Coordinators
WellnessCoordinators.develop.WellnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.develop.Services	Fitness and Wellness Coordinators
WellnessCoordinators.coordinate.FitnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.coordinate.Services	Fitness and Wellness Coordinators
WellnessCoordinators.coordinate.WellnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.coordinate.Services	Fitness and Wellness Coordinators
FitnessCoordinators.recommend.NewProgramOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
FitnessCoordinators.recommend.NewProgramOfferings.to.Fitness	Fitness and Wellness Coordinators
FitnessCoordinators.recommend.ServiceOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
FitnessCoordinators.recommend.ServiceOfferings.to.Fitness	Fitness and Wellness Coordinators
FitnessCoordinators.approve.NewProgramOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
FitnessCoordinators.approve.NewProgramOfferings.to.Fitness	Fitness and Wellness Coordinators
FitnessCoordinators.approve.ServiceOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
FitnessCoordinators.approve.ServiceOfferings.to.Fitness	Fitness and Wellness Coordinators
WellnessCoordinators.recommend.NewProgramOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
WellnessCoordinators.recommend.NewProgramOfferings.to.Fitness	Fitness and Wellness Coordinators
WellnessCoordinators.recommend.ServiceOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
WellnessCoordinators.recommend.ServiceOfferings.to.Fitness	Fitness and Wellness Coordinators
WellnessCoordinators.approve.NewProgramOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
WellnessCoordinators.approve.NewProgramOfferings.to.Fitness	Fitness and Wellness Coordinators
WellnessCoordinators.approve.ServiceOfferings.to.PromoteWellnessProduceRevenues	Fitness and Wellness Coordinators
WellnessCoordinators.approve.ServiceOfferings.to.Fitness	Fitness and Wellness Coordinators
FitnessCoordinators.manage.FitnessFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.manage.CleanFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.manage.RecreationFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.manage.CleanFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.FitnessFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.CleanFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.RecreationFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.CleanFacilities	Fitness and Wellness Coordinators
FitnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.manage.FitnessFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.manage.CleanFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.manage.RecreationFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.manage.CleanFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.manage.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.FitnessFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.CleanFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.RecreationFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.CleanFacilities	Fitness and Wellness Coordinators
WellnessCoordinators.oversee.Equipment	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.FitnessSpecialists	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.HealthEducators	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.WellnessSpecialists	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.HealthEducators	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.FitnessSpecialists	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.HealthEducators	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.WellnessSpecialists	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.HealthEducators	Fitness and Wellness Coordinators
FitnessCoordinators.track.Attendance	Fitness and Wellness Coordinators
FitnessCoordinators.track.PerformanceDataRelated.to.WellnessEvents	Fitness and Wellness Coordinators
WellnessCoordinators.track.Attendance	Fitness and Wellness Coordinators
WellnessCoordinators.track.PerformanceDataRelated.to.WellnessEvents	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.TrainingSessions.for.WellnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.TrainingSessions.for.FitnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.Seminars.for.WellnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.Seminars.for.FitnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.facilitate.TrainingSessions.for.WellnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.facilitate.TrainingSessions.for.FitnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.facilitate.Seminars.for.WellnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.facilitate.Seminars.for.FitnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.TrainingSessions.for.WellnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.TrainingSessions.for.FitnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.Seminars.for.WellnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.Seminars.for.FitnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.facilitate.TrainingSessions.for.WellnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.facilitate.TrainingSessions.for.FitnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.facilitate.Seminars.for.WellnessStaff	Fitness and Wellness Coordinators
WellnessCoordinators.facilitate.Seminars.for.FitnessStaff	Fitness and Wellness Coordinators
FitnessCoordinators.maintain.for.Maintenance.of.FitnessEquipment	Fitness and Wellness Coordinators
FitnessCoordinators.maintain.for.Maintenance.of.Facilities	Fitness and Wellness Coordinators
FitnessCoordinators.arrange.for.Maintenance.of.FitnessEquipment	Fitness and Wellness Coordinators
FitnessCoordinators.arrange.for.Maintenance.of.Facilities	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.for.Maintenance.of.FitnessEquipment	Fitness and Wellness Coordinators
WellnessCoordinators.maintain.for.Maintenance.of.Facilities	Fitness and Wellness Coordinators
WellnessCoordinators.arrange.for.Maintenance.of.FitnessEquipment	Fitness and Wellness Coordinators
WellnessCoordinators.arrange.for.Maintenance.of.Facilities	Fitness and Wellness Coordinators
FitnessCoordinators.prepare.BudgetsOperational	Fitness and Wellness Coordinators
FitnessCoordinators.prepare.MaintenancePlans	Fitness and Wellness Coordinators
FitnessCoordinators.prepare.Strategic	Fitness and Wellness Coordinators
FitnessCoordinators.prepare.MaintenancePlans	Fitness and Wellness Coordinators
FitnessCoordinators.implement.BudgetsOperational	Fitness and Wellness Coordinators
FitnessCoordinators.implement.MaintenancePlans	Fitness and Wellness Coordinators
FitnessCoordinators.implement.Strategic	Fitness and Wellness Coordinators
FitnessCoordinators.implement.MaintenancePlans	Fitness and Wellness Coordinators
WellnessCoordinators.prepare.BudgetsOperational	Fitness and Wellness Coordinators
WellnessCoordinators.prepare.MaintenancePlans	Fitness and Wellness Coordinators
WellnessCoordinators.prepare.Strategic	Fitness and Wellness Coordinators
WellnessCoordinators.prepare.MaintenancePlans	Fitness and Wellness Coordinators
WellnessCoordinators.implement.BudgetsOperational	Fitness and Wellness Coordinators
WellnessCoordinators.implement.MaintenancePlans	Fitness and Wellness Coordinators
WellnessCoordinators.implement.Strategic	Fitness and Wellness Coordinators
WellnessCoordinators.implement.MaintenancePlans	Fitness and Wellness Coordinators
FitnessCoordinators.evaluate.FitnessPrograms.to.DetermineEffectiveness	Fitness and Wellness Coordinators
FitnessCoordinators.evaluate.WellnessPrograms.to.DetermineEffectiveness	Fitness and Wellness Coordinators
WellnessCoordinators.evaluate.FitnessPrograms.to.DetermineEffectiveness	Fitness and Wellness Coordinators
WellnessCoordinators.evaluate.WellnessPrograms.to.DetermineEffectiveness	Fitness and Wellness Coordinators
FitnessCoordinators.develop.FitnessClasses	Fitness and Wellness Coordinators
FitnessCoordinators.develop.Aquatics	Fitness and Wellness Coordinators
FitnessCoordinators.develop.WellnessClasses	Fitness and Wellness Coordinators
FitnessCoordinators.develop.Aquatics	Fitness and Wellness Coordinators
WellnessCoordinators.develop.FitnessClasses	Fitness and Wellness Coordinators
WellnessCoordinators.develop.Aquatics	Fitness and Wellness Coordinators
WellnessCoordinators.develop.WellnessClasses	Fitness and Wellness Coordinators
WellnessCoordinators.develop.Aquatics	Fitness and Wellness Coordinators
FitnessCoordinators.demonstrate.ProperOperation.of.FitnessEquipment	Fitness and Wellness Coordinators
FitnessCoordinators.demonstrate.ProperOperation.of.FitnessAssessmentDevices	Fitness and Wellness Coordinators
WellnessCoordinators.demonstrate.ProperOperation.of.FitnessEquipment	Fitness and Wellness Coordinators
WellnessCoordinators.demonstrate.ProperOperation.of.FitnessAssessmentDevices	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.NeedsAssessments.to.DetermineInterest.in	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.NeedsAssessments.to.Satisfaction.with	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.Surveys.to.DetermineInterest.in	Fitness and Wellness Coordinators
FitnessCoordinators.conduct.Surveys.to.Satisfaction.with	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.NeedsAssessments.to.DetermineInterest.in	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.NeedsAssessments.to.Satisfaction.with	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.Surveys.to.DetermineInterest.in	Fitness and Wellness Coordinators
WellnessCoordinators.conduct.Surveys.to.Satisfaction.with	Fitness and Wellness Coordinators
FitnessCoordinators.teach.FitnessClasses.to.ImproveStrength	Fitness and Wellness Coordinators
FitnessCoordinators.teach.FitnessClasses.to.GeneralFitness.of.Participants	Fitness and Wellness Coordinators
WellnessCoordinators.teach.FitnessClasses.to.ImproveStrength	Fitness and Wellness Coordinators
WellnessCoordinators.teach.FitnessClasses.to.GeneralFitness.of.Participants	Fitness and Wellness Coordinators
FitnessCoordinators.develop.MarketingCampaigns.to.PromoteHealthyLifestyle.in.FitnessWellnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.develop.MarketingCampaigns.to.Participation.in.FitnessWellnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.develop.MarketingCampaigns.to.PromoteHealthyLifestyle.in.FitnessWellnessPrograms	Fitness and Wellness Coordinators
WellnessCoordinators.develop.MarketingCampaigns.to.Participation.in.FitnessWellnessPrograms	Fitness and Wellness Coordinators
FitnessCoordinators.select.Contractors	Fitness and Wellness Coordinators
FitnessCoordinators.select.WellnessPractitioners	Fitness and Wellness Coordinators
FitnessCoordinators.select.Health	Fitness and Wellness Coordinators
FitnessCoordinators.select.WellnessPractitioners	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.Contractors	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.WellnessPractitioners	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.Health	Fitness and Wellness Coordinators
FitnessCoordinators.supervise.WellnessPractitioners	Fitness and Wellness Coordinators
WellnessCoordinators.select.Contractors	Fitness and Wellness Coordinators
WellnessCoordinators.select.WellnessPractitioners	Fitness and Wellness Coordinators
WellnessCoordinators.select.Health	Fitness and Wellness Coordinators
WellnessCoordinators.select.WellnessPractitioners	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.Contractors	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.WellnessPractitioners	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.Health	Fitness and Wellness Coordinators
WellnessCoordinators.supervise.WellnessPractitioners	Fitness and Wellness Coordinators
FitnessCoordinators.track.Cost	Fitness and Wellness Coordinators
FitnessCoordinators.track.Programs.to.EvaluateEffectiveness	Fitness and Wellness Coordinators
WellnessCoordinators.track.Cost	Fitness and Wellness Coordinators
