id	name	description	code	hotTechnology	inDemand
BentleySystemsProjectwise	Bentley Systems ProjectWise	Project management software	43231507	false	false
BentleyTransportationDataManager	Bentley Transportation Data Manager	Data base user interface and query software	43232306	false	false
BentleyWatercad	Bentley WaterCAD	Computer aided design CAD software	43232604	false	false
BerkeleyAlgorithmForBreakingWindowGlassInCompartmentFireBreak1	Berkeley Algorithm for Breaking Window Glass in a Compartment Fire BREAK1	Analytical or scientific software	43232605	false	false
BerkeleyInternetDomainNameBind	Berkeley Internet Domain Name BIND	Internet directory services software	43232704	false	false
BerkshireAssociatesBalanceaap	Berkshire Associates BALANCEaap	Human resources software	43231505	false	false
BermudaNuclearTransportComputerCodes	BERMUDA nuclear transport computer codes	Analytical or scientific software	43232605	false	false
BesaEegfocus	BESA EEGFocus	Medical software	43232610	false	false
BestCaseSolutionsBestCaseBankruptcy	Best Case Solutions Best Case Bankruptcy	Document management software	43232202	false	false
BestLinearUnbiasedPredictionBlup	Best Linear Unbiased Prediction BLUP	Analytical or scientific software	43232605	false	false
BestMipFundAccounting	Best MIP Fund Accounting	Accounting software	43231601	false	false
BestSoftwareCpapayroll	Best Software CPAPayroll	Data base user interface and query software	43232306	false	false
Bi3AuditIntelligence	Bi3 Audit Intelligence	Compliance software	43232606	false	false
Bi3FinancialStatementFraudAnalysis	Bi3 Financial Statement Fraud Analysis	Financial analysis software	43231604	false	false
Bibase4posRetail	Bibase 4POS Retail	Point of sale POS software	43232611	false	false
BidAssistant	Bid Assistant	Calendar and scheduling software	43232108	false	false
BiddleAdverseImpactToolkit	Biddle Adverse Impact Toolkit	Human resources software	43231505	false	false
BiddleAutoaap	Biddle AutoAAP	Human resources software	43231505	false	false
BidirectionalEncoderRepresentationsFromTransformers	Bidirectional encoder representations from transformers (BERT)	Analytical or scientific software	43232605	false	false
Bidmaster	BidMaster	Project management software	43231507	false	false
BiglooScheme	Bigloo Scheme	Development environment software	43232402	false	false
Bigquery	BigQuery	Data base user interface and query software	43232306	false	false
Bilko	Bilko	Analytical or scientific software	43232605	false	false
Billing	Billing and reimbursement software	Accounting software	43231601	false	false
BillingSoftware	Billing software	Accounting software	43231601	false	false
BillOfLadingSoftware	Bill of lading software	Materials requirements planning logistics and supply chain software	43231506	false	false
BillOfMaterialsSoftware	Bill of materials software	Materials requirements planning logistics and supply chain software	43231506	false	false
BillReviewSoftware	Bill review software	Expert system software	43231511	false	false
BillsOfLadingSoftware	Bills of lading software	Materials requirements planning logistics and supply chain software	43231506	false	false
Bing	Bing	Data base user interface and query software	43232306	false	false
BingAds	Bing Ads	Sales and marketing software	43231514	false	false
BingForPowerBi	Bing for Power BI	Data mining software	43232307	false	false
BioarraySoftwareEnvironmentBase	BioArray Software Environment BASE	Analytical or scientific software	43232605	false	false
Bioconductor	Bioconductor	Analytical or scientific software	43232605	false	false
BioconductorSoftware	Bioconductor software	Data base user interface and query software	43232306	false	false
BiodegrationFlow	Biodegration flow and transport modeling software	Analytical or scientific software	43232605	false	false
BiodexMedicalSystemsBiodexConcussionManager	Biodex Medical Systems Biodex Concussion Manager	Medical software	43232610	false	false
BiodiscoveryImagene	BioDiscovery ImaGene	Analytical or scientific software	43232605	false	false
BioexSystemsExerciseExpert	BioEx Systems Exercise Expert	Data base user interface and query software	43232306	false	false
BioexSystemsExercisePro	BioEx Systems Exercise Pro	Medical software	43232610	false	false
BioexSystemsFitnessMaker	BioEx Systems Fitness Maker	Project management software	43231507	false	false
BioexSystemsNutritionMakerPlus	BioEx Systems Nutrition Maker Plus	Medical software	43232610	false	false
BiofeedbackSoftware	Biofeedback software	Medical software	43232610	false	false
BioinformaticsDatabases	Bioinformatics databases	Data base user interface and query software	43232306	false	false
BioKeyFirerms	BIO-key FireRMS	Data base user interface and query software	43232306	false	false
BiokinPlateki	BioKin PlateKi	Analytical or scientific software	43232605	false	false
BioLogicSystemsHintPro	Bio-logic Systems HINT Pro	Medical software	43232610	false	false
BiomattersGeneious	Biomatters Geneious	Analytical or scientific software	43232605	false	false
BiomechanicalImagingSoftware	Biomechanical imaging software	Analytical or scientific software	43232605	false	false
BiomechanicalInjuryRiskAnalysisSoftware	Biomechanical injury risk analysis software	Analytical or scientific software	43232605	false	false
BiomechanicalModelingSoftware	Biomechanical modeling software	Analytical or scientific software	43232605	false	false
BiomedicalImagingResourceAnalyze	Biomedical Imaging Resource Analyze	Medical software	43232610	false	false
BiometricReaderSoftware	Biometric reader software	Access software	43232901	false	false
BiometricStorageSystemBss	Biometric Storage System BSS	Data base user interface and query software	43232306	false	false
BiometricsVideoGameSoftware	Biometrics video game software	Action games	43232001	false	false
Bioperl	BioPerl	Analytical or scientific software	43232605	false	false
BioreactorDesign	Bioreactor Design	Computer aided design CAD software	43232604	false	false
BiostatisticalSoftware	Biostatistical software	Analytical or scientific software	43232605	false	false
BitCorpPromacsPlc	BIT Corp ProMACS PLC	Industrial control software	43232608	false	false
BitDebrisSolutionsUsabilityActivityLog	Bit Debris Solutions Usability Activity Log	Analytical or scientific software	43232605	false	false
BiteAnalysisSoftware	Bite analysis software	Analytical or scientific software	43232605	false	false
BitwizardB.v.Mtr	BitWizard B.V. mtr	Network monitoring software	43232801	false	false
Bizbench	BizBench	Financial analysis software	43231604	false	false
BizlinkSalonManager	Bizlink Salon Manager	Data base user interface and query software	43232306	false	false
BizmaticsPrognocisEmr	Bizmatics PrognoCIS EMR	Medical software	43232610	false	false
Bizpricer	BizPricer	Financial analysis software	43231604	false	false
BiztrakBusinessSolutionsBiztrak	Biztrak Business Solutions Biztrak	Enterprise resource planning ERP software	43231602	false	false
BlackbaudCrm	Blackbaud CRM	Customer relationship management CRM software	43232303	false	false
BlackbaudEducationEdge	Blackbaud The Education Edge	Enterprise resource planning ERP software	43231602	false	false
BlackbaudEtapestry	Blackbaud eTapestry	Customer relationship management CRM software	43232303	false	false
BlackbaudFinancialEdge	Blackbaud The Financial Edge	Accounting software	43231601	false	false
BlackbaudLuminateCrm	Blackbaud Luminate CRM	Customer relationship management CRM software	43232303	false	false
BlackbaudRaiser'sEdge	Blackbaud The Raiser's Edge	Customer relationship management CRM software	43232303	false	false
BlackberryEnterpriseServer	BlackBerry Enterprise Server	Operating system software	43233004	false	false
BlackboardCollaborate	Blackboard Collaborate	Computer based training software	43232502	false	false
BlackboardLearn	Blackboard Learn	Computer based training software	43232502	false	false
BlackboardLearningSystem	Blackboard Learning System	Computer based training software	43232502	false	false
BlackboardSoftware	Blackboard software	Data base user interface and query software	43232306	false	false
BlackboardWimba	Blackboard Wimba	Presentation software	43232106	false	false
Blackdog	Blackdog	Human resources software	43231505	false	false
BlackdogRecruiting	BlackDog Recruiting	Human resources software	43231505	false	false
BlackhawkCanyonPublishersPracticianworks	BlackHawk Canyon Publishers PracticianWorks	Medical software	43232610	false	false
Blaster'sTool	Blaster's Tool and Supply Company Blaster's Calculator	Analytical or scientific software	43232605	false	false
BlastOutputBrowserBob	Blast Output Browser BOB	Analytical or scientific software	43232605	false	false
Blat	BLAT	Analytical or scientific software	43232605	false	false
BlatantMediaAbsorbLms	Blatant Media Absorb LMS	Computer based training software	43232502	false	false
Blender	Blender	Graphics or photo imaging software	43232102	false	false
Blink	Blink	Instant messaging software	43233504	false	false
Blinkbid	Blinkbid	Accounting software	43231601	false	false
BlockDiagramSoftware	Block diagram software	Pattern design software	43232101	false	false
Blogger	Blogger	Web page creation and editing software	43232107	false	false
BloggingSoftware	Blogging software	Web page creation and editing software	43232107	false	false
BloodBankComputerSystemsBloodBankControlSystem	Blood Bank Computer Systems Blood Bank Control System	Medical software	43232610	false	false
BloodBankInformationSystems	Blood bank information systems	Medical software	43232610	false	false
BloombergProfessional	Bloomberg Professional	Financial analysis software	43231604	false	false
Bloomz	Bloomz	Desktop communications software	43232702	false	false
BlsSoftwareInvoice!	BLS Software Invoice!	Accounting software	43231601	false	false
BlueberryHarborSoftwareClinicalRecordKeeper	Blueberry Harbor Software Clinical Record Keeper	Medical software	43232610	false	false
BlueChipComputerConsultantsHumanet	Blue Chip Computer Consultants HumaNET	Human resources software	43231505	false	false
BlueprintDisplaySoftware	Blueprint display software	Graphics or photo imaging software	43232102	false	false
BlueRidgeNumericsCfdesign	Blue Ridge Numerics CFDesign	Analytical or scientific software	43232605	false	false
BlueStreakElectronicsBuellDiagnostic	Blue Streak Electronics Buell Diagnostic	Analytical or scientific software	43232605	false	false
BlueTractorSoftwareDnadynamo	Blue Tractor Software DNADynamo	Analytical or scientific software	43232605	false	false
BluewaterManagementSystemsBmcase	Bluewater Management Systems BMCASE	Medical software	43232610	false	false
BlumbegDraftingLibraries	Blumbeg Drafting Libraries	Desktop publishing software	43232112	false	false
BlumenthalSoftwarePbsw24	Blumenthal Software PBSW24	Time accounting software	43231605	false	false
BmcSoftwareChangeManager	BMC Software Change Manager	Data base management system software	43232304	false	false
BmcSoftwareControlM	BMC Software Control-M	Enterprise application integration software	43232403	false	false
BmcSoftwareRecoveryManagerRman	BMC Software Recovery Manager RMAN	Backup or archival software	43233415	false	false
BmcSoftwareRemedyItServiceManagementSuite	BMC Software Remedy IT Service Management Suite	Helpdesk or call center software	43231501	false	false
BMethod	B-Method	Development environment software	43232402	false	false
BmhOpen4Payroll	BMH Open4 Payroll	Time accounting software	43231605	false	false
BmobileTechnologyRouteManager	bMobile Technology Route Manager	Project management software	43231507	false	false
BmobileTechnologySales	bMobile Technology Sales	Project management software	43231507	false	false
BnaCorporateTaxAuditAnalyzer	BNA Corporate Tax Audit Analyzer	Financial analysis software	43231604	false	false
BnaEstate	BNA Estate and Gift Tax Suite	Tax preparation software	43231603	false	false
BnaIncomeTaxPlanningSolutions	BNA Income Tax Planning Solutions	Tax preparation software	43231603	false	false
BnaSales	BNA Sales and Use Tax Rates and Forms	Tax preparation software	43231603	false	false
BobcadCam	BobCAD-CAM	Computer aided manufacturing CAM software	43232612	false	false
BoeingKorkDigitalMapping	Boeing Kork Digital Mapping	Analytical or scientific software	43232605	false	false
BoeingSoftplotter	Boeing SoftPlotter	Analytical or scientific software	43232605	false	false
BohemianCodingDrawit	Bohemian Coding DrawIt	Graphics or photo imaging software	43232102	false	false
BonddeskGroupTraderWorkstation	BondDesk Group Trader WorkStation	Financial analysis software	43231604	false	false
BondInternationalAdaptStaffing	Bond International Adapt Staffing	Human resources software	43231505	false	false
BondInternationalSoftwareBondStaffsuite	Bond International Software Bond StaffSuite	Human resources software	43231505	false	false
BookerSoftwareSpabooker	Booker Software SpaBooker	Data base user interface and query software	43232306	false	false
Bookfresh	BookFresh	Calendar and scheduling software	43232108	false	false
Bookitlive	Bookitlive	Data base user interface and query software	43232306	false	false
BookkeepingSoftware	Bookkeeping software	Accounting software	43231601	false	false
Bootstrap	Bootstrap	Web platform development software	43232408	true	false
BorderGatewayProtocolBgp	Border Gateway Protocol BGP	Switch or router software	43232908	true	false
BorisFxContinuumComplete	Boris FX Continuum Complete	Video creation and editing software	43232103	false	false
BorlandParadox	Borland Paradox	Object or component oriented development software	43232405	false	false
BorlandSilktest	Borland SilkTest	Program testing software	43232406	false	false
BorlandVisibroker	Borland VisiBroker	Development environment software	43232402	false	false
BornemannAssociatesFlightPlan	Bornemann Associates Flight Plan	Aviation ground support software	43232601	false	false
BoschPunchList	Bosch Punch List	Project management software	43231507	false	false
BossDidger	BOSS Didger	Data conversion software	43233402	false	false
BossInternationalVisualGroundwater	BOSS International Visual Groundwater	Computer aided design CAD software	43232604	false	false
BostonBarSystemsCorporationSonnet	Boston Bar Systems Corporation Sonnet	Word processing software	43232104	false	false
BostonpostTechnologyPropertyManager	Bostonpost Technology Property Manager	Data base user interface and query software	43232306	false	false
BottomLineLoanmasterLoanServicing	Bottom Line LoanMaster Loan Servicing	Accounting software	43231601	false	false
BottomlineTechnologiesBottomlineSprinterPurchasingManager	Bottomline Technologies Bottomline Sprinter Purchasing Manager	Procurement software	43231503	false	false
BoundaryScanDescriptionLanguageBsdl	Boundary scan description language BSDL	Development environment software	43232402	false	false
BoundaryScanInsertionSoftware	Boundary scan insertion software	Analytical or scientific software	43232605	false	false
BoundarySurveySoftware	Boundary survey software	Map creation software	43233506	false	false
BourneShell	Bourne Shell	Operating system software	43233004	false	false
BourqueDataSystemsYardmaster	Bourque Data Systems YardMaster	Materials requirements planning logistics and supply chain software	43231506	false	false
Bowen&GrovesM1Erp	Bowen & Groves M1 ERP	Enterprise resource planning ERP software	43231602	false	false
BowneJfsLitigator'sNotebook	Bowne JFS Litigator's Notebook	Categorization or classification software	43232301	false	false
Bowtie	Bowtie	Analytical or scientific software	43232605	false	false
Boxshade	BoxShade	Analytical or scientific software	43232605	false	false
Bpm_cad	BPM_CAD	Analytical or scientific software	43232605	false	false
BpsCompliance	BPS Compliance	Compliance software	43232606	false	false
BqeSoftwareArchioffice	BQE Software ArchiOffice	Office suite software	43231513	false	false
BqeSoftwareBillquick	BQE Software BillQuick	Accounting software	43231601	false	false
BradfordClickforms	Bradford ClickFORMS	Graphics or photo imaging software	43232102	false	false
BradstreetGlobalDecisionmaker	Dun and Bradstreet Global DecisionMaker	Financial analysis software	43231604	false	false
BradyLockoutPro	Brady Lockout Pro	Data base user interface and query software	43232306	false	false
BradySpecimenLabelingSystem	Brady Specimen Labeling System	Label making software	43231510	false	false
BrainmetricCategoryTest	BrainMetric The Category Test	Medical software	43232610	false	false
BrainsharkRapidLearning	Brainshark Rapid Learning	Computer based training software	43232502	false	false
BraintrainCaptain'sLog	BrainTrain Captain's Log	Medical software	43232610	false	false
BraintrainIva+plus	BrainTrain IVA+Plus	Computer based training software	43232502	false	false
BraintrainSmartdriver	BrainTrain SmartDriver	Action games	43232001	false	false
Brainworks	Brainworks	Enterprise resource planning ERP software	43231602	false	false
BramerhillClaimstech	Bramerhill ClaimsTech	Document management software	43232202	false	false
BrbSoftwareHorizonmis	BRB Software HorizonMIS	Medical software	43232610	false	false
Brcapro	BRCAPRO	Medical software	43232610	false	false
BreastCancerRiskAssessmentTool	Breast Cancer Risk Assessment Tool	Medical software	43232610	false	false
BreaultResearchAsap	Breault Research ASAP	Computer aided design CAD software	43232604	false	false
Breedtrak	Breedtrak	Data base user interface and query software	43232306	false	false
BrentmarkEstatePlanningQuickview	Brentmark Estate Planning Quickview	Financial analysis software	43231604	false	false
BrentmarkStockOptionRiskAnalyzer	Brentmark Stock Option Risk Analyzer	Financial analysis software	43231604	false	false
BrickellResearchBrickellMedicalOffice	Brickell Research Brickell Medical Office	Medical software	43232610	false	false
BridgeDesignSoftware	Bridge design software	Computer aided design CAD software	43232604	false	false
BridgewayEcounsel	Bridgeway eCounsel	Data base user interface and query software	43232306	false	false
BridiumClaims	Bridium Claims 3	Document management software	43232202	false	false
BriefPsychiatricRatingScaleBprsNursingModification	Brief Psychiatric Rating Scale BPRS Nursing Modification	Medical software	43232610	false	false
Brightcove	Brightcove	Web page creation and editing software	43232107	false	false
Brightedge	BrightEdge	Business intelligence and data analysis software	43232314	false	false
BrightmoveApplicantTrackingSystem	BrightMove Applicant Tracking System	Human resources software	43231505	false	false
BrightworkAlyceClaimsSystems	Brightwork Alyce Claims Systems	Document management software	43232202	false	false
BrightworkPmpoint	BrightWork pmPoint	Project management software	43231507	false	false
BrihzonSolutionsSmartDairyResourcePlanning	Brihzon Solutions SMART Dairy Resource Planning	Enterprise resource planning ERP software	43231602	false	false
Brioquery	BrioQuery	Data base user interface and query software	43232306	false	false
BroadcastElectronicsAudiovaultFlex	Broadcast Electronics AudioVAULT FleX	Music or sound editing software	43232005	false	false
BroadsoftBroadworks	BroadSoft BroadWorks	Desktop communications software	43232702	false	false
BroadvisionSoftware	BroadVision software	Web platform development software	43232408	false	false
BrokerageSoftware	Brokerage software	Procurement software	43231503	false	false
BrukerAxsEva	Bruker AXS EVA	Analytical or scientific software	43232605	false	false
BrukerAxsLeptos	Bruker AXS LEPTOS	Analytical or scientific software	43232605	false	false
BrukerAxsTopas	Bruker AXS TOPAS	Analytical or scientific software	43232605	false	false
BrukerBiospinTopspin	Bruker BioSpin TopSpin	Analytical or scientific software	43232605	false	false
BrukerOpticsOpus	Bruker Optics OPUS	Analytical or scientific software	43232605	false	false
BrunoRealtyEneighboorhoods	Bruno Realty eNeighboorhoods	Data base user interface and query software	43232306	false	false
BSharpTechnologiesBCare	B Sharp Technologies B Care	Medical software	43232610	false	false
BsiCompliancefactory	BSI ComplianceFactory	Compliance software	43232606	false	false
Bsvc	BSVC	Analytical or scientific software	43232605	false	false
BtbSoftwareMycobacteriologyLab	BtB Software Mycobacteriology Lab	Analytical or scientific software	43232605	false	false
BudgetingForecasting	Budgeting, forecasting, and planning software	Enterprise resource planning ERP software	43231602	false	false
BudgetingSoftware	Budgeting software	Accounting software	43231601	false	false
BudgetMonitoringSystems	Budget monitoring systems	Financial analysis software	43231604	false	false
Bugzilla	Bugzilla	Program testing software	43232406	false	false
Build	Cadsoft Design/Build	Computer aided design CAD software	43232604	false	false
BuildingAutomationSoftware	Building automation software	Industrial control software	43232608	false	false
BuildingManagementSystemSoftware	Building management system software	Facilities management software	43232603	false	false
BuildingResearchEstablishmentBreJasmine	Building Research Establishment BRE Jasmine	Analytical or scientific software	43232605	false	false
BuildingSoftware	Analysis and building software	Analytical or scientific software	43232605	false	false
BuiltInSelfTestBistDebuggingSoftware	Built-in self-test BIST debugging software	Analytical or scientific software	43232605	false	false
BullhornApplicantTrackingSystem	Bullhorn Applicant Tracking System	Human resources software	43231505	false	false
BungalowSoftwareAphasiaTutor	Bungalow Software Aphasia Tutor	Medical software	43232610	false	false
BunkspeedHyperdrive	Bunkspeed HyperDrive	Graphics or photo imaging software	43232102	false	false
BunkspeedHypermove	Bunkspeed HyperMove	Graphics or photo imaging software	43232102	false	false
BurliSoftwareBurliNewsroomSystem	Burli Software Burli Newsroom System	Word processing software	43232104	false	false
BurrowsWheelerAlignerBwa	Burrows-Wheeler Aligner BWA	Analytical or scientific software	43232605	false	false
BusinessAccountingSoftware	Business accounting software	Accounting software	43231601	false	false
BusinessAnalysisSoftware	Business analysis software	Analytical or scientific software	43232605	false	false
BusinessContinuitySoftware	Business continuity software	Enterprise resource planning ERP software	43231602	false	false
BusinessForecastSystemsForecastPro	Business Forecast Systems Forecast Pro	Financial analysis software	43231604	false	false
BusinessIntelligenceSoftware	Business intelligence software	Business intelligence and data analysis software	43232314	false	false
BusinessIntelligenceSystemSoftware	Business intelligence system software	Business intelligence and data analysis software	43232314	false	false
BusinessManagementSoftware	Business management software	Data base user interface and query software	43232306	false	false
BusinessManagementSystemsMunicipalGeographicManagementSystemMgms	Business Management Systems Municipal Geographic Management System MGMS	Data base user interface and query software	43232306	false	false
BusinessObjectsDataIntegrator	Business Objects Data Integrator	Development environment software	43232402	false	false
BusinessPerformanceManagementBpmSoftware	Business performance management BPM software	Enterprise resource planning ERP software	43231602	false	false
BusinessProcessManagementBpmSoftware	Business process management BPM software	Enterprise resource planning ERP software	43231602	false	false
BusinessSoftwareApplications	Business software applications	Office suite software	43231513	false	false
BusinessValuationTemplateSoftware	Investment and business valuation template software	Financial analysis software	43231604	false	false
Bwa	BWA	Analytical or scientific software	43232605	false	false
BwiseComplianceManagement	BWise Compliance Management	Compliance software	43232606	false	false
ByrneSoftwareTechnologiesVisualHcs	Byrne Software Technologies Visual HCS	Human resources software	43231505	false	false
BytescribeDevelopmentCompanyWavplayer	Bytescribe Development Company WavPlayer	Word processing software	43232104	false	false
C	C	Development environment software	43232402	true	false
C#	C#	Object or component oriented development software	43232405	true	false
C++	C++	Object or component oriented development software	43232405	true	false
C++CompilerSuite	Wind River Systems C/C++ Compiler Suite	Development environment software	43232402	false	false
CabinetNgCngSafe	Cabinet NG CNG-SAFE	Document management software	43232202	false	false
Cable	PTC Pro/Cable	Computer aided design CAD software	43232604	false	false
CablesoftLivewireTrader	CableSoft LiveWire Trader	Financial analysis software	43231604	false	false
CaClarityPpm	CA Clarity PPM	Enterprise resource planning ERP software	43231602	false	false
Cadafis	CADAFIS	Data base user interface and query software	43232306	false	false
CadcorpDesktopGis	Cadcorp desktop GIS	Geographic information system	43232510	false	false
CademCapsmill	Cadem CAPSMill	Computer aided manufacturing CAM software	43232612	false	false
CademCapsturn	Cadem CAPSTurn	Computer aided manufacturing CAM software	43232612	false	false
CademNcnet	Cadem NCnet	Computer aided manufacturing CAM software	43232612	false	false
CademSeencMill	Cadem seeNC Mill	Computer aided manufacturing CAM software	43232612	false	false
CadenceAllegroDesignEntryCapture	Cadence Allegro Design Entry Capture and Capture CIS	Computer aided design CAD software	43232604	false	false
CadenceAllegroPcbDesigner	Cadence Allegro PCB Designer	Computer aided design CAD software	43232604	false	false
CadenceConcept	Cadence Concept	Computer aided design CAD software	43232604	false	false
CadenceDracula	Cadence Dracula	Analytical or scientific software	43232605	false	false
CadenceEncounterRtlCompiler	Cadence Encounter RTL Compiler	Compiler and decompiler software	43232409	false	false
CadenceEncounterTest	Cadence Encounter Test	Computer aided design CAD software	43232604	false	false
CadenceIncisiveEnterpriseSimulator	Cadence Incisive Enterprise Simulator	Analytical or scientific software	43232605	false	false
CadenceIncisiveEnterpriseSpecmanEliteTestbench	Cadence Incisive Enterprise Specman Elite Testbench	Analytical or scientific software	43232605	false	false
CadenceOpus	Cadence Opus	Development environment software	43232402	false	false
CadenceOrcadPspice	Cadence OrCAD PSpice	Analytical or scientific software	43232605	false	false
CadenceOrcadSoftware	Cadence OrCAD software	Computer aided design CAD software	43232604	false	false
CadencePspice	Cadence PSpice	Analytical or scientific software	43232605	false	false
CadenceSchematicComposer	Cadence Schematic Composer	Computer aided design CAD software	43232604	false	false
CadenceSolutionsExtendedreach	Cadence Solutions extendedReach	Medical software	43232610	false	false
CadenceVirtuosoLayoutSuite	Cadence Virtuoso Layout Suite	Computer aided design CAD software	43232604	false	false
CadenceVirtuosoSpectreCircuitSimulator	Cadence Virtuoso Spectre Circuit Simulator	Analytical or scientific software	43232605	false	false
CadreAnalytic	CADRE Analytic	Analytical or scientific software	43232605	false	false
CadreTechnologiesAccuplusIntegratedDistributionLogisticsSystem	Cadre Technologies Accuplus Integrated Distribution Logistics System	Materials requirements planning logistics and supply chain software	43231506	false	false
CadreTechnologiesCadenceTransportationManagementSystem	Cadre Technologies Cadence Transportation Management System	Materials requirements planning logistics and supply chain software	43231506	false	false
CadreTechnologiesCadenceWarehouseManagementSystem	Cadre Technologies Cadence Warehouse Management System	Materials requirements planning logistics and supply chain software	43231506	false	false
CadsoftDesign	Cadsoft Design/Build	Computer aided design CAD software	43232604	false	false
CadwellLaboratoriesEasy	Cadwell Laboratories Easy	Medical software	43232610	false	false
CadZoneCrimeZone	The CAD Zone The Crime Zone	Graphics or photo imaging software	43232102	false	false
CadZoneInsurance	CAD Zone Insurance	Computer aided design CAD software	43232604	false	false
CaEasytrieveReportGenerator	CA Easytrieve Report Generator	Manufacturing execution system MES software	43232613	false	false
CaEtrust	CA eTrust	Transaction security and virus protection software	43233205	false	false
CafeCartelSystems	Cafe Cartel Systems	Point of sale POS software	43232611	false	false
CaIdms	CA IDMS	Data base management system software	43232304	false	false
CaiSoftwareSeasoft	CAI Software Seasoft	Accounting software	43231601	false	false
CakewalkSonar	Cakewalk SONAR	Music or sound editing software	43232005	false	false
CalculatingOptimumMaintenanceParametersCompare	Calculating optimum maintenance parameters COMPARE	Analytical or scientific software	43232605	false	false
Calendar	Calendar and scheduling software	Calendar and scheduling software	43232108	false	false
CalendarManagementSoftware	Calendar management software	Calendar and scheduling software	43232108	false	false
CalendarSoftware	Calendar software	Calendar and scheduling software	43232108	false	false
CalibanMindwearHypergasp	Caliban Mindwear HyperGASP	Presentation software	43232106	false	false
CalibrationSoftware	Calibration software	Analytical or scientific software	43232605	false	false
CaliforniaInfiniteLps	California Infinite LPS	Financial analysis software	43231604	false	false
CaliforniaVerbalLearningTest	California Verbal Learning Test	Medical software	43232610	false	false
CaligariCorporationTruespace	Caligari Corporation trueSpace	Graphics or photo imaging software	43232102	false	false
CaliperMaptitude	Caliper Maptitude	Geographic information system	43232510	false	false
CaliperTranscad	Caliper TransCAD	Computer aided design CAD software	43232604	false	false
CallAccountingSoftware	Call accounting software	Helpdesk or call center software	43231501	false	false
CallCenterSoftware	Call center software	Helpdesk or call center software	43231501	false	false
CallidusTruecomp	Callidus TrueComp	Human resources software	43231505	false	false
CallProcessingLanguageCpl	Call-processing language CPL	Development environment software	43232402	false	false
CallTrackingSoftware	Call tracking software	Helpdesk or call center software	43231501	false	false
CalypsoTechnologyCalypsoAssetManagement	Calypso Technology Calypso Asset Management	Financial analysis software	43231604	false	false
CalyxPoint	Calyx Point	Financial analysis software	43231604	false	false
Cam	OneCNC CAD/CAM	Computer aided manufacturing CAM software	43232612	false	false
CamaSoftwareQualityCollaborationByDesignQcbd	CAMA Software Quality Collaboration By Design QCBD	Industrial control software	43232608	false	false
CambridgesoftChemofficeUltra	CambridgeSoft ChemOffice Ultra	Data base user interface and query software	43232306	false	false
CamCommerceSolutionsRetailStarPointOfSalePos	CAM Commerce Solutions Retail STAR Point of Sale POS	Point of sale POS software	43232611	false	false
CamEngravingSoftware	Computer aided design and computer aided manufacturing CAD/CAM engraving software	Computer aided design CAD and computer aided manufacturing CAM system	43232614	false	false
CameraBitsPhotoMechanic	Camera Bits Photo Mechanic	Graphics or photo imaging software	43232102	false	false
CamfitDataLimitedMicrofit	Camfit Data Limited Microfit	Analytical or scientific software	43232605	false	false
CammackComputationsInterEst	Cammack Computations Inter-Est	Financial analysis software	43231604	false	false
CampaignMonitor	Campaign Monitor	Desktop publishing software	43232112	false	false
CampSoftwareArtLicensingManager	Camp Software Art Licensing Manager	Data base user interface and query software	43232306	false	false
CamServicesDiemaker	MAKER CAD/CAM Services DIEMAKER	Computer aided design CAD software	43232604	false	false
CamstarManufacturingExecutionSystemMes	Camstar Manufacturing Execution System MES	Industrial control software	43232608	false	false
CamstarSystemsCamstarSemiconductorSuite	Camstar Systems Camstar Semiconductor Suite	Industrial control software	43232608	false	false
CamSystem	GeoPath CAD/CAM System	Computer aided manufacturing CAM software	43232612	false	false
CamSystemCnckad	Metalix CAD/CAM System cncKad	Computer aided manufacturing CAM software	43232612	false	false
Cancergene	CancerGene	Medical software	43232610	false	false
CandidateScreeningSoftware	Candidate screening software	Human resources software	43231505	false	false
CandidateTrackingSoftware	Candidate tracking software	Human resources software	43231505	false	false
CanonicalLaunchpad	Canonical Launchpad	Data base user interface and query software	43232306	false	false
Canorus	Canorus	Music or sound editing software	43232005	false	false
CantovationSing&See	Cantovation Sing & See	Computer based training software	43232502	false	false
Canu	Canu	Development environment software	43232402	false	false
Canva	Canva	Graphics or photo imaging software	43232102	true	false
CanyonSolutionsJcats	Canyon Solutions Jcats	Project management software	43231507	false	false
Cap88Pc	CAP88-PC	Analytical or scientific software	43232605	false	false
CapacityPlanningSoftware	Capacity planning software	Requirements analysis and system architecture software	43232407	false	false
CapAutomationSellwise	CAP Automation SellWise	Point of sale POS software	43232611	false	false
CapeSystemsCapePack	CAPE Systems CAPE PACK	Materials requirements planning logistics and supply chain software	43231506	false	false
CapeSystemsTruckfill	CAPE Systems TRUCKFILL	Materials requirements planning logistics and supply chain software	43231506	false	false
CapitalCodeworksMenumax	Capital Codeworks MenuMax	Enterprise resource planning ERP software	43231602	false	false
CapsherTechnologySuretec	CAPSHER Technology SureTec	Industrial control software	43232608	false	false
CapsysCapture	CAPSYS Capture	Analytical or scientific software	43232605	false	false
CaptarisAlchemy	Captaris Alchemy	Document management software	43232202	false	false
CapterraEnterpriseResourcePlanning	Capterra Enterprise Resource Planning	Enterprise resource planning ERP software	43231602	false	false
CaptivaInputaccel	Captiva InputAccel	Document management software	43232202	false	false
CaptureCis	Cadence Allegro Design Entry Capture and Capture CIS	Computer aided design CAD software	43232604	false	false
